Start of song
Instrument: cello
Start of notes
Note: beat=0, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=81, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=102, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=84, position=0, pitch=A3, duration=6, instrument=recorder
Note: beat=77, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=75, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=85, position=6, pitch=G4, duration=12, instrument=recorder
Note: beat=72, position=0, pitch=E5, duration=9, instrument=recorder
Note: beat=83, position=0, pitch=A4, duration=12, instrument=recorder
Note: beat=73, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=102, position=6, pitch=D4, duration=6, instrument=recorder
Note: beat=91, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=86, position=6, pitch=A3, duration=6, instrument=recorder
Note: beat=90, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=110, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=91, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=105, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=103, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=93, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=81, position=6, pitch=E5, duration=6, instrument=recorder
Note: beat=86, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=89, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=78, position=0, pitch=C4, duration=12, instrument=recorder
Note: beat=92, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=108, position=6, pitch=G4, duration=12, instrument=recorder
Note: beat=91, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=103, position=0, pitch=D3, duration=6, instrument=recorder
Note: beat=111, position=6, pitch=D3, duration=6, instrument=recorder
Note: beat=108, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=81, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=80, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=96, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=80, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=90, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=92, position=0, pitch=G3, duration=3, instrument=recorder
Note: beat=117, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=93, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=122, position=0, pitch=A3, duration=6, instrument=recorder
Note: beat=106, position=6, pitch=A3, duration=6, instrument=recorder
Note: beat=108, position=6, pitch=C4, duration=6, instrument=recorder
Note: beat=91, position=6, pitch=E4, duration=12, instrument=recorder
Note: beat=118, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=97, position=0, pitch=E4, duration=6, instrument=recorder
Note: beat=110, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=96, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=81, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=118, position=6, pitch=D3, duration=6, instrument=recorder
Note: beat=117, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=114, position=6, pitch=B4, duration=9, instrument=recorder
Note: beat=118, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=103, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=120, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=108, position=6, pitch=G4, duration=9, instrument=recorder
Note: beat=110, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=87, position=6, pitch=D5, duration=12, instrument=recorder
Note: beat=110, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=113, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=90, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=105, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=97, position=0, pitch=E4, duration=6, instrument=recorder
Note: beat=97, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=108, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=122, position=6, pitch=E4, duration=6, instrument=recorder
Note: beat=113, position=6, pitch=G3, duration=6, instrument=recorder
Note: beat=119, position=0, pitch=C4, duration=9, instrument=recorder
Start of song
