Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=13, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=13, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=14, position=0, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=14, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=14, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=15, position=0, pitch=G2, duration=3, instrument=harpsichord
Note: beat=15, position=3, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=15, position=6, pitch=E2, duration=3, instrument=harpsichord
Note: beat=15, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=16, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=16, position=9, pitch=C4, duration=3, instrument=harpsichord
Note: beat=17, position=0, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=17, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=17, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=17, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=18, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=18, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=18, position=6, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=18, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=19, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=19, position=3, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=19, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=19, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=19, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=20, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=20, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=20, position=6, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=20, position=9, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=21, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=21, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=22, position=0, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=22, position=3, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=22, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=22, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=22, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=23, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=23, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=23, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=23, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=24, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=24, position=3, pitch=G3, duration=1, instrument=harpsichord
Note: beat=24, position=4, pitch=F#3, duration=2, instrument=harpsichord
Note: beat=24, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=24, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=25, position=0, pitch=E2, duration=3, instrument=harpsichord
Note: beat=25, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=25, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=25, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=26, position=0, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=26, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=26, position=6, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=26, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=27, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=27, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=27, position=6, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=27, position=9, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=28, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=28, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=28, position=6, pitch=B2, duration=6, instrument=harpsichord
Note: beat=29, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=29, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=29, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=30, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=30, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=30, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=30, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=31, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=31, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=31, position=6, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=31, position=9, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=32, position=0, pitch=B2, duration=24, instrument=harpsichord
Note: beat=39, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=39, position=6, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=39, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=40, position=0, pitch=F2, duration=3, instrument=harpsichord
Note: beat=40, position=3, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=40, position=6, pitch=G#2, duration=3, instrument=harpsichord
Note: beat=40, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=41, position=0, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=41, position=3, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=41, position=4, pitch=F#2, duration=2, instrument=harpsichord
Note: beat=41, position=6, pitch=B2, duration=7, instrument=harpsichord
Note: beat=42, position=2, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=42, position=3, pitch=A2, duration=1, instrument=harpsichord
Note: beat=42, position=4, pitch=B2, duration=2, instrument=harpsichord
Note: beat=42, position=6, pitch=G#2, duration=6, instrument=harpsichord
Note: beat=43, position=0, pitch=F#2, duration=6, instrument=harpsichord
Note: beat=43, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=43, position=9, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=43, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=44, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=44, position=8, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=44, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=44, position=10, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=45, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=45, position=8, pitch=B2, duration=1, instrument=harpsichord
Note: beat=45, position=9, pitch=A2, duration=1, instrument=harpsichord
Note: beat=45, position=10, pitch=B2, duration=2, instrument=harpsichord
Note: beat=46, position=0, pitch=C#3, duration=6, instrument=harpsichord
Note: beat=46, position=8, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=46, position=9, pitch=G#2, duration=1, instrument=harpsichord
Note: beat=46, position=10, pitch=A#2, duration=2, instrument=harpsichord
Note: beat=47, position=0, pitch=B2, duration=1, instrument=harpsichord
Note: beat=47, position=2, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=47, position=3, pitch=B2, duration=1, instrument=harpsichord
Note: beat=47, position=4, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=47, position=6, pitch=D3, duration=1, instrument=harpsichord
Note: beat=47, position=8, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=47, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=47, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=48, position=0, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=48, position=2, pitch=B2, duration=1, instrument=harpsichord
Note: beat=48, position=3, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=48, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=48, position=6, pitch=E3, duration=1, instrument=harpsichord
Note: beat=48, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=48, position=9, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=48, position=10, pitch=E3, duration=2, instrument=harpsichord
Note: beat=49, position=0, pitch=D3, duration=1, instrument=harpsichord
Note: beat=49, position=2, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=49, position=3, pitch=D3, duration=1, instrument=harpsichord
Note: beat=49, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=49, position=6, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=49, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=49, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=49, position=10, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=50, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=50, position=3, pitch=B2, duration=6, instrument=harpsichord
Note: beat=50, position=9, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=51, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=51, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=51, position=6, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=51, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=52, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=52, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=52, position=6, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=52, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=53, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=53, position=3, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=53, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=53, position=9, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=54, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=54, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=54, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=54, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=55, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=55, position=3, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=55, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=55, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=56, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=56, position=3, pitch=D4, duration=3, instrument=harpsichord
Note: beat=56, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=56, position=9, pitch=B3, duration=3, instrument=harpsichord
Note: beat=57, position=0, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=57, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=57, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=57, position=9, pitch=C#4, duration=3, instrument=harpsichord
Note: beat=58, position=0, pitch=D4, duration=3, instrument=harpsichord
Note: beat=58, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=58, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=58, position=6, pitch=G3, duration=7, instrument=harpsichord
Note: beat=59, position=2, pitch=A3, duration=1, instrument=harpsichord
Note: beat=59, position=3, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=59, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=59, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=60, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=60, position=6, pitch=B3, duration=6, instrument=harpsichord
Note: beat=61, position=0, pitch=C#4, duration=3, instrument=harpsichord
Note: beat=61, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=61, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=61, position=9, pitch=C#4, duration=3, instrument=harpsichord
Note: beat=62, position=0, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=62, position=2, pitch=F3, duration=1, instrument=harpsichord
Note: beat=62, position=3, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=62, position=4, pitch=G#3, duration=2, instrument=harpsichord
Note: beat=62, position=6, pitch=A3, duration=1, instrument=harpsichord
Note: beat=62, position=8, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=62, position=9, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=62, position=10, pitch=A3, duration=2, instrument=harpsichord
Note: beat=63, position=0, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=63, position=2, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=63, position=3, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=63, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=63, position=6, pitch=B3, duration=1, instrument=harpsichord
Note: beat=63, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=63, position=9, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=63, position=10, pitch=B3, duration=2, instrument=harpsichord
Note: beat=64, position=0, pitch=A3, duration=1, instrument=harpsichord
Note: beat=64, position=2, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=64, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=64, position=4, pitch=B3, duration=2, instrument=harpsichord
Note: beat=64, position=6, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=64, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=64, position=9, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=64, position=10, pitch=G#3, duration=2, instrument=harpsichord
Note: beat=65, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=65, position=3, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=65, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=66, position=0, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=66, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=66, position=9, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=66, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=67, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=67, position=8, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=67, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=67, position=10, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=68, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=68, position=8, pitch=B2, duration=1, instrument=harpsichord
Note: beat=68, position=9, pitch=A2, duration=1, instrument=harpsichord
Note: beat=68, position=10, pitch=B2, duration=2, instrument=harpsichord
Note: beat=69, position=0, pitch=C#3, duration=6, instrument=harpsichord
Note: beat=69, position=8, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=69, position=9, pitch=G#2, duration=1, instrument=harpsichord
Note: beat=69, position=10, pitch=A#2, duration=2, instrument=harpsichord
Note: beat=70, position=0, pitch=B2, duration=1, instrument=harpsichord
Note: beat=70, position=2, pitch=D3, duration=1, instrument=harpsichord
Note: beat=70, position=3, pitch=E3, duration=1, instrument=harpsichord
Note: beat=70, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=70, position=6, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=70, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=70, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=70, position=10, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=71, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=71, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=71, position=6, pitch=E2, duration=3, instrument=harpsichord
Note: beat=71, position=9, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=72, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=72, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=72, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=72, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=73, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=73, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=73, position=6, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=73, position=9, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=74, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=74, position=3, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=74, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=74, position=6, pitch=E3, duration=7, instrument=harpsichord
Note: beat=75, position=2, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=75, position=3, pitch=D3, duration=1, instrument=harpsichord
Note: beat=75, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=75, position=6, pitch=C#3, duration=6, instrument=harpsichord
Note: beat=76, position=0, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=76, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=76, position=6, pitch=A2, duration=6, instrument=harpsichord
Note: beat=77, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=77, position=3, pitch=G2, duration=3, instrument=harpsichord
Note: beat=77, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=77, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=78, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=78, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=78, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=78, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=79, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=79, position=6, pitch=B3, duration=1, instrument=harpsichord
Note: beat=79, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=79, position=9, pitch=G3, duration=1, instrument=harpsichord
Note: beat=79, position=10, pitch=F#3, duration=2, instrument=harpsichord
Note: beat=80, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=80, position=6, pitch=B3, duration=1, instrument=harpsichord
Note: beat=80, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=80, position=9, pitch=G3, duration=1, instrument=harpsichord
Note: beat=80, position=10, pitch=F#3, duration=2, instrument=harpsichord
Note: beat=81, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=81, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=81, position=6, pitch=A3, duration=1, instrument=harpsichord
Note: beat=81, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=81, position=9, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=81, position=10, pitch=E3, duration=2, instrument=harpsichord
Note: beat=82, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=82, position=6, pitch=A3, duration=1, instrument=harpsichord
Note: beat=82, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=82, position=9, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=82, position=10, pitch=E3, duration=2, instrument=harpsichord
Note: beat=83, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=83, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=83, position=6, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=83, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=83, position=9, pitch=D3, duration=1, instrument=harpsichord
Note: beat=83, position=10, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=84, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=84, position=6, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=84, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=84, position=9, pitch=D3, duration=1, instrument=harpsichord
Note: beat=84, position=10, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=85, position=0, pitch=B2, duration=1, instrument=harpsichord
Note: beat=85, position=2, pitch=A2, duration=1, instrument=harpsichord
Note: beat=85, position=3, pitch=B2, duration=1, instrument=harpsichord
Note: beat=85, position=4, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=85, position=6, pitch=D3, duration=1, instrument=harpsichord
Note: beat=85, position=8, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=85, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=85, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=86, position=0, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=86, position=2, pitch=B2, duration=1, instrument=harpsichord
Note: beat=86, position=3, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=86, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=86, position=6, pitch=E3, duration=1, instrument=harpsichord
Note: beat=86, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=86, position=9, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=86, position=10, pitch=E3, duration=2, instrument=harpsichord
Note: beat=87, position=0, pitch=D3, duration=1, instrument=harpsichord
Note: beat=87, position=2, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=87, position=3, pitch=D3, duration=1, instrument=harpsichord
Note: beat=87, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=87, position=6, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=87, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=87, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=87, position=10, pitch=C#3, duration=2, instrument=harpsichord
Note: beat=88, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=88, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=88, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=88, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=89, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=90, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=90, position=6, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=90, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=91, position=0, pitch=F2, duration=3, instrument=harpsichord
Note: beat=91, position=3, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=91, position=6, pitch=G#2, duration=3, instrument=harpsichord
Note: beat=91, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=92, position=0, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=92, position=3, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=92, position=4, pitch=F#2, duration=2, instrument=harpsichord
Note: beat=92, position=6, pitch=B2, duration=7, instrument=harpsichord
Note: beat=93, position=2, pitch=C#3, duration=1, instrument=harpsichord
Note: beat=93, position=3, pitch=A2, duration=1, instrument=harpsichord
Note: beat=93, position=4, pitch=B2, duration=2, instrument=harpsichord
Note: beat=93, position=6, pitch=G#2, duration=6, instrument=harpsichord
Note: beat=94, position=0, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=94, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=94, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=94, position=9, pitch=E2, duration=3, instrument=harpsichord
Note: beat=95, position=0, pitch=A2, duration=6, instrument=harpsichord
Note: beat=95, position=6, pitch=B2, duration=6, instrument=harpsichord
Note: beat=96, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=96, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=96, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=97, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=97, position=6, pitch=A2, duration=6, instrument=harpsichord
Note: beat=98, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=98, position=3, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=98, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=98, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=99, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=99, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=100, position=0, pitch=F#2, duration=3, instrument=harpsichord
Note: beat=100, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=100, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=100, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=101, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=101, position=3, pitch=E3, duration=1, instrument=harpsichord
Note: beat=101, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=101, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=101, position=9, pitch=E2, duration=3, instrument=harpsichord
Note: beat=102, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=102, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=102, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=102, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=102, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=103, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=103, position=3, pitch=D3, duration=1, instrument=harpsichord
