Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=7, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=8, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=8, position=3, pitch=D4, duration=3, instrument=harpsichord
Note: beat=8, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=8, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=9, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=9, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=9, position=6, pitch=F2, duration=3, instrument=harpsichord
Note: beat=9, position=9, pitch=F3, duration=6, instrument=harpsichord
Note: beat=10, position=3, pitch=E3, duration=2, instrument=harpsichord
Note: beat=10, position=5, pitch=F3, duration=1, instrument=harpsichord
Note: beat=10, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=10, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=11, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=11, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=11, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=11, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=12, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=12, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=12, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=12, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=13, position=0, pitch=F2, duration=3, instrument=harpsichord
Note: beat=13, position=3, pitch=F3, duration=3, instrument=harpsichord
Note: beat=13, position=6, pitch=B2, duration=6, instrument=harpsichord
Note: beat=14, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=14, position=3, pitch=F3, duration=3, instrument=harpsichord
Note: beat=14, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=14, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=15, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=15, position=9, pitch=B3, duration=3, instrument=harpsichord
Note: beat=16, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=16, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=16, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=16, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=17, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=17, position=3, pitch=G2, duration=3, instrument=harpsichord
Note: beat=17, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=17, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=18, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=18, position=9, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=19, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=19, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=20, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=20, position=6, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=20, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=21, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=21, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=21, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=22, position=0, pitch=E3, duration=4, instrument=harpsichord
Note: beat=22, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=22, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=22, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=23, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=23, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=23, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=23, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=24, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=24, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=24, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=24, position=9, pitch=D2, duration=3, instrument=harpsichord
Note: beat=25, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=25, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=26, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=26, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=26, position=6, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=26, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=27, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=27, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=27, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=28, position=0, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=28, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=28, position=6, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=28, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=29, position=0, pitch=E3, duration=9, instrument=harpsichord
Note: beat=29, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=30, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=30, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=30, position=6, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=30, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=31, position=0, pitch=D3, duration=9, instrument=harpsichord
Note: beat=31, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=32, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=32, position=6, pitch=A#2, duration=12, instrument=harpsichord
Note: beat=33, position=6, pitch=A2, duration=3, instrument=harpsichord
Note: beat=33, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=34, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=34, position=3, pitch=A3, duration=2, instrument=harpsichord
Note: beat=34, position=5, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=34, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=34, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=35, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=35, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=35, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=35, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=36, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=36, position=3, pitch=G2, duration=3, instrument=harpsichord
Note: beat=36, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=36, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=37, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=37, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=38, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=38, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=38, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=38, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=39, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=39, position=9, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=40, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=40, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=40, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=40, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=41, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=41, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=41, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=41, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=42, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=42, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=42, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=42, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=43, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=43, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=44, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=44, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=45, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=45, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=46, position=0, pitch=A3, duration=12, instrument=harpsichord
Note: beat=47, position=0, pitch=G3, duration=12, instrument=harpsichord
End of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
