Start of song
Instrument: viola
Start of notes
Note: beat=1, position=6, pitch=D4, duration=3, instrument=harpsichord
Note: beat=25, position=6, pitch=B3, duration=5, instrument=harpsichord
Note: beat=15, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=17, position=6, pitch=B4, duration=2, instrument=harpsichord
Note: beat=16, position=0, pitch=A3, duration=1, instrument=harpsichord
Note: beat=33, position=6, pitch=B4, duration=3, instrument=harpsichord
Note: beat=24, position=6, pitch=G4, duration=6, instrument=harpsichord
Note: beat=11, position=6, pitch=E5, duration=5, instrument=harpsichord
Note: beat=11, position=6, pitch=G4, duration=3, instrument=harpsichord
Note: beat=13, position=6, pitch=D4, duration=2, instrument=harpsichord
Note: beat=30, position=0, pitch=E4, duration=5, instrument=harpsichord
Note: beat=26, position=6, pitch=G4, duration=3, instrument=harpsichord
Note: beat=27, position=6, pitch=E4, duration=2, instrument=harpsichord
Note: beat=24, position=0, pitch=D4, duration=5, instrument=harpsichord
Note: beat=19, position=6, pitch=A4, duration=3, instrument=harpsichord
Note: beat=18, position=0, pitch=B3, duration=2, instrument=harpsichord
Note: beat=19, position=6, pitch=D4, duration=1, instrument=harpsichord
Note: beat=31, position=6, pitch=E3, duration=2, instrument=harpsichord
Note: beat=15, position=6, pitch=B4, duration=3, instrument=harpsichord
Note: beat=20, position=0, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=31, position=6, pitch=A4, duration=3, instrument=harpsichord
Note: beat=30, position=0, pitch=D4, duration=3, instrument=harpsichord
Note: beat=14, position=0, pitch=B3, duration=2, instrument=harpsichord
Note: beat=25, position=6, pitch=A4, duration=6, instrument=harpsichord
Note: beat=29, position=0, pitch=D4, duration=3, instrument=harpsichord
Note: beat=19, position=0, pitch=E4, duration=3, instrument=harpsichord
Note: beat=30, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=19, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=25, position=0, pitch=B3, duration=2, instrument=harpsichord
Note: beat=35, position=0, pitch=D5, duration=3, instrument=harpsichord
Note: beat=29, position=6, pitch=E5, duration=2, instrument=harpsichord
Note: beat=21, position=0, pitch=E5, duration=2, instrument=harpsichord
Note: beat=29, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=41, position=6, pitch=D5, duration=1, instrument=harpsichord
Note: beat=25, position=6, pitch=E5, duration=3, instrument=harpsichord
Note: beat=42, position=6, pitch=E4, duration=3, instrument=harpsichord
Note: beat=28, position=0, pitch=E3, duration=2, instrument=harpsichord
Note: beat=33, position=0, pitch=D4, duration=3, instrument=harpsichord
Note: beat=20, position=6, pitch=D4, duration=2, instrument=harpsichord
Note: beat=29, position=0, pitch=D3, duration=2, instrument=harpsichord
Note: beat=37, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=29, position=0, pitch=D5, duration=1, instrument=harpsichord
Note: beat=32, position=6, pitch=E4, duration=1, instrument=harpsichord
Note: beat=23, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=27, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=30, position=0, pitch=E4, duration=6, instrument=harpsichord
Note: beat=18, position=0, pitch=E4, duration=3, instrument=harpsichord
Note: beat=25, position=0, pitch=E4, duration=3, instrument=harpsichord
Note: beat=19, position=6, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=24, position=0, pitch=B4, duration=3, instrument=harpsichord
Note: beat=21, position=6, pitch=A4, duration=3, instrument=harpsichord
Note: beat=35, position=0, pitch=A4, duration=6, instrument=harpsichord
Note: beat=41, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=24, position=0, pitch=G4, duration=6, instrument=harpsichord
Note: beat=30, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=42, position=0, pitch=B3, duration=2, instrument=harpsichord
Note: beat=24, position=0, pitch=B4, duration=6, instrument=harpsichord
Note: beat=45, position=6, pitch=G4, duration=2, instrument=harpsichord
Note: beat=50, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=43, position=0, pitch=E4, duration=1, instrument=harpsichord
Note: beat=28, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=27, position=0, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=34, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=36, position=0, pitch=E3, duration=1, instrument=harpsichord
Note: beat=30, position=6, pitch=E4, duration=2, instrument=harpsichord
Note: beat=55, position=6, pitch=A3, duration=2, instrument=harpsichord
Note: beat=35, position=6, pitch=E5, duration=6, instrument=harpsichord
Note: beat=27, position=0, pitch=B4, duration=3, instrument=harpsichord
Note: beat=32, position=6, pitch=B4, duration=1, instrument=harpsichord
Note: beat=49, position=0, pitch=F#4, duration=1, instrument=harpsichord
Note: beat=42, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=42, position=0, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=36, position=6, pitch=G4, duration=2, instrument=harpsichord
Note: beat=44, position=0, pitch=G4, duration=3, instrument=harpsichord
Note: beat=41, position=0, pitch=D5, duration=6, instrument=harpsichord
Note: beat=30, position=0, pitch=E4, duration=1, instrument=harpsichord
Note: beat=40, position=0, pitch=D5, duration=6, instrument=harpsichord
Note: beat=32, position=6, pitch=G4, duration=2, instrument=harpsichord
Note: beat=34, position=6, pitch=E4, duration=2, instrument=harpsichord
Note: beat=36, position=0, pitch=D4, duration=2, instrument=harpsichord
Note: beat=36, position=0, pitch=D4, duration=3, instrument=harpsichord
Note: beat=83, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=86, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=75, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=41, position=6, pitch=D4, duration=6, instrument=harpsichord
Note: beat=49, position=6, pitch=B4, duration=2, instrument=harpsichord
Note: beat=83, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=83, position=6, pitch=G3, duration=1, instrument=harpsichord
Note: beat=45, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=52, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=60, position=0, pitch=E4, duration=3, instrument=harpsichord
Note: beat=82, position=6, pitch=E4, duration=3, instrument=harpsichord
Note: beat=70, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=83, position=0, pitch=E4, duration=2, instrument=harpsichord
Note: beat=79, position=6, pitch=D4, duration=1, instrument=harpsichord
Note: beat=116, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=78, position=0, pitch=A4, duration=6, instrument=harpsichord
Note: beat=88, position=0, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=75, position=6, pitch=B3, duration=6, instrument=harpsichord
Note: beat=105, position=0, pitch=D5, duration=3, instrument=harpsichord
Note: beat=83, position=6, pitch=E3, duration=2, instrument=harpsichord
Note: beat=79, position=6, pitch=E4, duration=2, instrument=harpsichord
Note: beat=100, position=6, pitch=A3, duration=1, instrument=harpsichord
Note: beat=99, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=88, position=6, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=250, position=0, pitch=D3, duration=2, instrument=harpsichord
Note: beat=86, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=83, position=6, pitch=D4, duration=6, instrument=harpsichord
Note: beat=109, position=6, pitch=D4, duration=3, instrument=harpsichord
Note: beat=71, position=0, pitch=D5, duration=6, instrument=harpsichord
Note: beat=105, position=6, pitch=D5, duration=3, instrument=harpsichord
Note: beat=86, position=0, pitch=A4, duration=3, instrument=harpsichord
Note: beat=117, position=6, pitch=E5, duration=3, instrument=harpsichord
Note: beat=70, position=0, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=82, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=76, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=85, position=0, pitch=G4, duration=6, instrument=harpsichord
Note: beat=73, position=0, pitch=G4, duration=1, instrument=harpsichord
Note: beat=83, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=83, position=0, pitch=B4, duration=2, instrument=harpsichord
Note: beat=67, position=0, pitch=B3, duration=1, instrument=harpsichord
Note: beat=72, position=6, pitch=C#5, duration=1, instrument=harpsichord
Note: beat=67, position=0, pitch=C#5, duration=2, instrument=harpsichord
Note: beat=77, position=6, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=83, position=6, pitch=E4, duration=6, instrument=harpsichord
Note: beat=86, position=0, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=58, position=0, pitch=D5, duration=2, instrument=harpsichord
Note: beat=72, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=76, position=6, pitch=D4, duration=1, instrument=harpsichord
Note: beat=76, position=6, pitch=C#5, duration=1, instrument=harpsichord
Note: beat=72, position=0, pitch=E3, duration=2, instrument=harpsichord
Note: beat=79, position=6, pitch=B2, duration=2, instrument=harpsichord
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
