Start of song
Instrument: cello
Start of notes
Note: beat=0, position=6, pitch=F#3, duration=3, instrument=cello
Note: beat=18, position=0, pitch=A2, duration=1, instrument=cello
Note: beat=15, position=0, pitch=G3, duration=1, instrument=cello
Note: beat=20, position=6, pitch=G2, duration=1, instrument=cello
Note: beat=15, position=6, pitch=A2, duration=3, instrument=cello
Note: beat=20, position=0, pitch=C3, duration=3, instrument=cello
Note: beat=21, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=25, position=6, pitch=D4, duration=6, instrument=cello
Note: beat=19, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=21, position=9, pitch=D4, duration=6, instrument=cello
Note: beat=27, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=26, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=33, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=34, position=9, pitch=G3, duration=3, instrument=cello
Note: beat=33, position=0, pitch=A2, duration=1, instrument=cello
Note: beat=28, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=21, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=20, position=0, pitch=E2, duration=3, instrument=cello
Note: beat=36, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=31, position=0, pitch=G2, duration=1, instrument=cello
Note: beat=33, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=29, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=33, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=30, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=20, position=0, pitch=D3, duration=1, instrument=cello
Note: beat=29, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=33, position=9, pitch=E4, duration=3, instrument=cello
Note: beat=22, position=0, pitch=E3, duration=1, instrument=cello
Note: beat=23, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=28, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=39, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=36, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=24, position=0, pitch=D4, duration=1, instrument=cello
Note: beat=28, position=9, pitch=A2, duration=1, instrument=cello
Note: beat=35, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=41, position=9, pitch=G3, duration=3, instrument=cello
Note: beat=32, position=9, pitch=B2, duration=1, instrument=cello
Note: beat=24, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=37, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=33, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=42, position=9, pitch=E3, duration=6, instrument=cello
Note: beat=34, position=6, pitch=F#3, duration=2, instrument=cello
Note: beat=36, position=0, pitch=B2, duration=6, instrument=cello
Note: beat=26, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=27, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=30, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=34, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=36, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=37, position=0, pitch=A3, duration=1, instrument=cello
Note: beat=35, position=0, pitch=E2, duration=1, instrument=cello
Note: beat=43, position=9, pitch=C3, duration=6, instrument=cello
Note: beat=38, position=9, pitch=D4, duration=1, instrument=cello
Note: beat=40, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=44, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=43, position=0, pitch=G2, duration=2, instrument=cello
Note: beat=44, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=46, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=32, position=6, pitch=F#3, duration=1, instrument=cello
Note: beat=34, position=9, pitch=C3, duration=3, instrument=cello
Note: beat=35, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=44, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=35, position=0, pitch=D2, duration=1, instrument=cello
Note: beat=39, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=33, position=9, pitch=A3, duration=1, instrument=cello
Note: beat=35, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=37, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=32, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=43, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=37, position=0, pitch=E3, duration=2, instrument=cello
Note: beat=33, position=0, pitch=E3, duration=1, instrument=cello
Note: beat=36, position=9, pitch=E3, duration=2, instrument=cello
Note: beat=44, position=0, pitch=F#3, duration=2, instrument=cello
Note: beat=37, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=41, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=34, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=39, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=42, position=0, pitch=D4, duration=1, instrument=cello
Note: beat=37, position=0, pitch=A3, duration=6, instrument=cello
Note: beat=51, position=0, pitch=F#3, duration=2, instrument=cello
Note: beat=48, position=6, pitch=G3, duration=3, instrument=cello
Note: beat=36, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=44, position=9, pitch=B2, duration=1, instrument=cello
Note: beat=45, position=9, pitch=B2, duration=2, instrument=cello
Note: beat=38, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=45, position=0, pitch=D3, duration=2, instrument=cello
Note: beat=33, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=46, position=9, pitch=G3, duration=1, instrument=cello
Note: beat=46, position=6, pitch=D4, duration=1, instrument=cello
Note: beat=35, position=0, pitch=G2, duration=6, instrument=cello
Note: beat=40, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=38, position=0, pitch=E2, duration=3, instrument=cello
Note: beat=50, position=9, pitch=G3, duration=3, instrument=cello
Note: beat=37, position=0, pitch=G3, duration=1, instrument=cello
Note: beat=54, position=0, pitch=G3, duration=2, instrument=cello
Note: beat=41, position=0, pitch=F#3, duration=3, instrument=cello
Note: beat=57, position=0, pitch=G3, duration=1, instrument=cello
Note: beat=48, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=47, position=0, pitch=E3, duration=1, instrument=cello
Note: beat=52, position=9, pitch=A3, duration=2, instrument=cello
Note: beat=43, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=60, position=9, pitch=C3, duration=3, instrument=cello
Note: beat=45, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=50, position=0, pitch=G3, duration=1, instrument=cello
Note: beat=50, position=0, pitch=C3, duration=3, instrument=cello
Note: beat=57, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=42, position=9, pitch=A3, duration=1, instrument=cello
Note: beat=45, position=0, pitch=B2, duration=2, instrument=cello
Note: beat=47, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=38, position=3, pitch=E4, duration=3, instrument=cello
Note: beat=53, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=50, position=0, pitch=G3, duration=2, instrument=cello
Note: beat=54, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=61, position=9, pitch=D4, duration=6, instrument=cello
Note: beat=40, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=40, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=44, position=0, pitch=F#3, duration=1, instrument=cello
Note: beat=58, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=41, position=9, pitch=D4, duration=2, instrument=cello
Note: beat=44, position=0, pitch=A2, duration=1, instrument=cello
Note: beat=49, position=6, pitch=B2, duration=2, instrument=cello
Note: beat=49, position=9, pitch=B2, duration=6, instrument=cello
Note: beat=57, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=51, position=6, pitch=C#3, duration=1, instrument=cello
Note: beat=49, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=56, position=3, pitch=B3, duration=1, instrument=cello
Note: beat=40, position=0, pitch=E3, duration=6, instrument=cello
Note: beat=50, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=57, position=0, pitch=B4, duration=3, instrument=cello
Note: beat=44, position=6, pitch=E4, duration=3, instrument=cello
Note: beat=51, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=67, position=0, pitch=G2, duration=2, instrument=cello
Note: beat=55, position=0, pitch=C3, duration=3, instrument=cello
Note: beat=54, position=9, pitch=A4, duration=3, instrument=cello
Note: beat=48, position=0, pitch=D4, duration=6, instrument=cello
Note: beat=60, position=9, pitch=B3, duration=1, instrument=cello
Note: beat=58, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=66, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=64, position=9, pitch=B2, duration=1, instrument=cello
Note: beat=54, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=56, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=44, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=51, position=6, pitch=B2, duration=1, instrument=cello
Note: beat=50, position=0, pitch=F#3, duration=3, instrument=cello
Note: beat=55, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=62, position=6, pitch=G2, duration=3, instrument=cello
Note: beat=51, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=67, position=6, pitch=A3, duration=1, instrument=cello
Note: beat=51, position=0, pitch=C3, duration=2, instrument=cello
Note: beat=52, position=0, pitch=F#3, duration=1, instrument=cello
Note: beat=59, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=53, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=66, position=6, pitch=F#3, duration=6, instrument=cello
Note: beat=66, position=6, pitch=F#2, duration=3, instrument=cello
Note: beat=74, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=46, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=53, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=55, position=9, pitch=G3, duration=3, instrument=cello
Note: beat=64, position=0, pitch=D3, duration=1, instrument=cello
Note: beat=54, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=80, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=64, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=71, position=9, pitch=G3, duration=2, instrument=cello
Note: beat=70, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=59, position=6, pitch=A2, duration=6, instrument=cello
Note: beat=59, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=70, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=68, position=3, pitch=A3, duration=6, instrument=cello
Note: beat=61, position=0, pitch=D3, duration=1, instrument=cello
Note: beat=75, position=9, pitch=C3, duration=1, instrument=cello
Note: beat=74, position=0, pitch=D3, duration=2, instrument=cello
Note: beat=68, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=63, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=76, position=3, pitch=C#3, duration=2, instrument=cello
Note: beat=81, position=6, pitch=C#3, duration=3, instrument=cello
Note: beat=59, position=0, pitch=B3, duration=1, instrument=cello
Note: beat=64, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=58, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=72, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=59, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=81, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=78, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=72, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=71, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=70, position=9, pitch=E3, duration=2, instrument=cello
Note: beat=76, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=77, position=9, pitch=E2, duration=2, instrument=cello
Note: beat=59, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=81, position=0, pitch=F#3, duration=3, instrument=cello
Note: beat=78, position=6, pitch=E4, duration=2, instrument=cello
Note: beat=72, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=81, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=59, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=79, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=79, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=80, position=0, pitch=D4, duration=1, instrument=cello
Note: beat=76, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=84, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=86, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=81, position=3, pitch=A2, duration=2, instrument=cello
Note: beat=90, position=3, pitch=A3, duration=2, instrument=cello
Note: beat=75, position=3, pitch=E4, duration=6, instrument=cello
Note: beat=76, position=0, pitch=A2, duration=1, instrument=cello
Note: beat=83, position=3, pitch=F#3, duration=1, instrument=cello
Note: beat=76, position=3, pitch=C3, duration=2, instrument=cello
Note: beat=73, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=69, position=3, pitch=F#2, duration=1, instrument=cello
Note: beat=85, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=84, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=82, position=0, pitch=E3, duration=1, instrument=cello
Note: beat=86, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=80, position=3, pitch=A2, duration=2, instrument=cello
Note: beat=90, position=0, pitch=A3, duration=1, instrument=cello
Note: beat=75, position=0, pitch=C#3, duration=1, instrument=cello
Note: beat=75, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=80, position=0, pitch=A2, duration=1, instrument=cello
Note: beat=77, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=81, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=70, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=94, position=3, pitch=D3, duration=1, instrument=cello
Note: beat=79, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=74, position=3, pitch=E3, duration=1, instrument=cello
Note: beat=79, position=0, pitch=C3, duration=3, instrument=cello
Note: beat=77, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=91, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=80, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=72, position=0, pitch=F#3, duration=1, instrument=cello
Note: beat=81, position=3, pitch=G2, duration=1, instrument=cello
Note: beat=94, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=77, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=88, position=9, pitch=G3, duration=1, instrument=cello
Note: beat=82, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=78, position=0, pitch=E2, duration=3, instrument=cello
Note: beat=80, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=80, position=0, pitch=F#3, duration=3, instrument=cello
Note: beat=75, position=3, pitch=B3, duration=1, instrument=cello
Note: beat=76, position=3, pitch=D3, duration=1, instrument=cello
Note: beat=89, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=96, position=9, pitch=G3, duration=3, instrument=cello
Note: beat=78, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=85, position=0, pitch=A2, duration=1, instrument=cello
Note: beat=99, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=76, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=74, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=95, position=3, pitch=A3, duration=2, instrument=cello
Note: beat=91, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=99, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=77, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=84, position=3, pitch=G2, duration=3, instrument=cello
Note: beat=76, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=91, position=3, pitch=C#3, duration=3, instrument=cello
Note: beat=104, position=3, pitch=E3, duration=1, instrument=cello
Note: beat=84, position=3, pitch=B3, duration=2, instrument=cello
Note: beat=92, position=3, pitch=D4, duration=3, instrument=cello
Note: beat=98, position=3, pitch=E4, duration=2, instrument=cello
Note: beat=98, position=0, pitch=B3, duration=2, instrument=cello
Note: beat=79, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=86, position=9, pitch=A3, duration=1, instrument=cello
Note: beat=89, position=3, pitch=A2, duration=2, instrument=cello
Note: beat=74, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=103, position=9, pitch=A3, duration=2, instrument=cello
Note: beat=83, position=6, pitch=G2, duration=6, instrument=cello
Note: beat=99, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=78, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=86, position=3, pitch=D3, duration=1, instrument=cello
Note: beat=86, position=3, pitch=E3, duration=2, instrument=cello
Note: beat=81, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=85, position=3, pitch=D3, duration=3, instrument=cello
Note: beat=90, position=3, pitch=G3, duration=1, instrument=cello
Note: beat=81, position=6, pitch=C3, duration=3, instrument=cello
Note: beat=83, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=79, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=79, position=9, pitch=G2, duration=3, instrument=cello
Note: beat=102, position=0, pitch=B3, duration=1, instrument=cello
Note: beat=96, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=81, position=6, pitch=F#3, duration=6, instrument=cello
Note: beat=79, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=78, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=90, position=0, pitch=F#3, duration=3, instrument=cello
Note: beat=112, position=6, pitch=D4, duration=3, instrument=cello
Note: beat=101, position=0, pitch=F#3, duration=3, instrument=cello
Note: beat=84, position=9, pitch=G3, duration=3, instrument=cello
Note: beat=112, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=98, position=3, pitch=A3, duration=2, instrument=cello
Note: beat=114, position=0, pitch=F#2, duration=6, instrument=cello
Note: beat=89, position=9, pitch=A3, duration=3, instrument=cello
