Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=21, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=14, position=6, pitch=E4, duration=9, instrument=recorder
Note: beat=18, position=6, pitch=C5, duration=12, instrument=recorder
Note: beat=25, position=0, pitch=D3, duration=3, instrument=recorder
Note: beat=27, position=6, pitch=F3, duration=12, instrument=recorder
Note: beat=34, position=6, pitch=G3, duration=6, instrument=recorder
Note: beat=34, position=0, pitch=C4, duration=9, instrument=recorder
Note: beat=19, position=0, pitch=G4, duration=9, instrument=recorder
Note: beat=23, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=16, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=15, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=21, position=0, pitch=D4, duration=6, instrument=recorder
Note: beat=31, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=38, position=0, pitch=A#3, duration=3, instrument=recorder
Note: beat=25, position=6, pitch=A#3, duration=3, instrument=recorder
Note: beat=24, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=22, position=0, pitch=F3, duration=12, instrument=recorder
Note: beat=28, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=39, position=0, pitch=G4, duration=12, instrument=recorder
Note: beat=24, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=42, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=33, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=33, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=37, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=43, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=21, position=6, pitch=F3, duration=6, instrument=recorder
Note: beat=28, position=0, pitch=G3, duration=6, instrument=recorder
Note: beat=35, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=37, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=28, position=6, pitch=F3, duration=9, instrument=recorder
Note: beat=34, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=42, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=29, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=32, position=0, pitch=E4, duration=3, instrument=recorder
Note: beat=35, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=40, position=0, pitch=A3, duration=6, instrument=recorder
Note: beat=36, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=48, position=0, pitch=G3, duration=6, instrument=recorder
Note: beat=33, position=6, pitch=D5, duration=12, instrument=recorder
Note: beat=36, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=40, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=44, position=0, pitch=D3, duration=3, instrument=recorder
Note: beat=40, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=48, position=6, pitch=C4, duration=6, instrument=recorder
Note: beat=48, position=6, pitch=D4, duration=12, instrument=recorder
Note: beat=37, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=42, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=51, position=6, pitch=A4, duration=9, instrument=recorder
Note: beat=35, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=38, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=50, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=59, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=53, position=0, pitch=D3, duration=3, instrument=recorder
Note: beat=53, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=61, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=56, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=53, position=0, pitch=A#3, duration=3, instrument=recorder
Note: beat=49, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=61, position=0, pitch=E4, duration=12, instrument=recorder
Note: beat=57, position=0, pitch=G3, duration=6, instrument=recorder
Note: beat=49, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=46, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=65, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=63, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=67, position=0, pitch=D3, duration=3, instrument=recorder
Note: beat=66, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=62, position=0, pitch=G3, duration=3, instrument=recorder
Note: beat=57, position=6, pitch=A3, duration=12, instrument=recorder
Note: beat=60, position=6, pitch=D4, duration=6, instrument=recorder
Note: beat=56, position=0, pitch=A#3, duration=9, instrument=recorder
Note: beat=57, position=0, pitch=A#3, duration=3, instrument=recorder
Note: beat=68, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=60, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=70, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=56, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=61, position=6, pitch=C4, duration=6, instrument=recorder
Note: beat=75, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=71, position=6, pitch=E4, duration=3, instrument=recorder
Note: beat=81, position=0, pitch=A3, duration=9, instrument=recorder
Note: beat=60, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=62, position=0, pitch=D4, duration=6, instrument=recorder
Note: beat=58, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=65, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=76, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=60, position=0, pitch=G4, duration=9, instrument=recorder
Note: beat=68, position=0, pitch=G4, duration=9, instrument=recorder
Note: beat=62, position=0, pitch=E4, duration=9, instrument=recorder
Note: beat=68, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=66, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=81, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=82, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=64, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=77, position=6, pitch=A3, duration=6, instrument=recorder
Note: beat=67, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=75, position=0, pitch=A3, duration=6, instrument=recorder
Note: beat=84, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=75, position=0, pitch=G3, duration=9, instrument=recorder
Note: beat=61, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=73, position=6, pitch=F4, duration=12, instrument=recorder
Note: beat=68, position=0, pitch=G3, duration=9, instrument=recorder
Note: beat=69, position=6, pitch=G3, duration=9, instrument=recorder
Note: beat=90, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=78, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=72, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=80, position=6, pitch=A#3, duration=6, instrument=recorder
Note: beat=66, position=6, pitch=F3, duration=6, instrument=recorder
Note: beat=69, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=90, position=6, pitch=D3, duration=12, instrument=recorder
Note: beat=77, position=6, pitch=G3, duration=9, instrument=recorder
Note: beat=76, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=81, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=62, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=86, position=0, pitch=A3, duration=12, instrument=recorder
Note: beat=87, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=81, position=0, pitch=F3, duration=3, instrument=recorder
Note: beat=84, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=85, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=85, position=0, pitch=D4, duration=6, instrument=recorder
Note: beat=86, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=67, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=95, position=6, pitch=G3, duration=6, instrument=recorder
Note: beat=74, position=0, pitch=A3, duration=12, instrument=recorder
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
