Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=3, pitch=E4, duration=3, instrument=harpsichord
Note: beat=22, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=22, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=22, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=23, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=23, position=3, pitch=F3, duration=3, instrument=harpsichord
Note: beat=23, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=23, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=24, position=0, pitch=C3, duration=9, instrument=harpsichord
Note: beat=24, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=25, position=0, pitch=F4, duration=3, instrument=harpsichord
Note: beat=25, position=3, pitch=E4, duration=3, instrument=harpsichord
Note: beat=25, position=6, pitch=D4, duration=6, instrument=harpsichord
Note: beat=26, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=26, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=26, position=6, pitch=E4, duration=3, instrument=harpsichord
Note: beat=26, position=9, pitch=D4, duration=3, instrument=harpsichord
Note: beat=27, position=0, pitch=C4, duration=6, instrument=harpsichord
Note: beat=27, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=27, position=9, pitch=A3, duration=6, instrument=harpsichord
Note: beat=28, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=28, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=29, position=0, pitch=F4, duration=3, instrument=harpsichord
Note: beat=29, position=3, pitch=E4, duration=3, instrument=harpsichord
Note: beat=29, position=6, pitch=D4, duration=2, instrument=harpsichord
Note: beat=29, position=8, pitch=C4, duration=1, instrument=harpsichord
Note: beat=29, position=9, pitch=B3, duration=1, instrument=harpsichord
Note: beat=29, position=10, pitch=A3, duration=2, instrument=harpsichord
Note: beat=30, position=0, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=30, position=3, pitch=E3, duration=6, instrument=harpsichord
Note: beat=30, position=9, pitch=F#3, duration=9, instrument=harpsichord
Note: beat=31, position=6, pitch=G#3, duration=9, instrument=harpsichord
Note: beat=32, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=32, position=6, pitch=A2, duration=3, instrument=harpsichord
Note: beat=32, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=33, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=33, position=3, pitch=B2, duration=5, instrument=harpsichord
Note: beat=33, position=8, pitch=A2, duration=1, instrument=harpsichord
Note: beat=33, position=8, pitch=B2, duration=1, instrument=harpsichord
Note: beat=33, position=9, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=34, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=34, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=34, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=34, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=35, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=35, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=35, position=6, pitch=D4, duration=2, instrument=harpsichord
Note: beat=35, position=8, pitch=F4, duration=1, instrument=harpsichord
Note: beat=35, position=9, pitch=E4, duration=1, instrument=harpsichord
Note: beat=35, position=10, pitch=G4, duration=2, instrument=harpsichord
Note: beat=36, position=0, pitch=F4, duration=2, instrument=harpsichord
Note: beat=36, position=2, pitch=A3, duration=1, instrument=harpsichord
Note: beat=36, position=3, pitch=D4, duration=1, instrument=harpsichord
Note: beat=36, position=4, pitch=F4, duration=2, instrument=harpsichord
Note: beat=36, position=6, pitch=E4, duration=2, instrument=harpsichord
Note: beat=36, position=8, pitch=G4, duration=1, instrument=harpsichord
Note: beat=36, position=9, pitch=F4, duration=1, instrument=harpsichord
Note: beat=36, position=10, pitch=A3, duration=2, instrument=harpsichord
Note: beat=37, position=0, pitch=D4, duration=2, instrument=harpsichord
Note: beat=37, position=2, pitch=F4, duration=1, instrument=harpsichord
Note: beat=37, position=3, pitch=E4, duration=1, instrument=harpsichord
Note: beat=37, position=4, pitch=G4, duration=2, instrument=harpsichord
Note: beat=37, position=6, pitch=F4, duration=2, instrument=harpsichord
Note: beat=37, position=8, pitch=D4, duration=1, instrument=harpsichord
Note: beat=37, position=9, pitch=B3, duration=1, instrument=harpsichord
Note: beat=37, position=10, pitch=D4, duration=2, instrument=harpsichord
Note: beat=38, position=0, pitch=G3, duration=2, instrument=harpsichord
Note: beat=38, position=2, pitch=B3, duration=1, instrument=harpsichord
Note: beat=38, position=3, pitch=C4, duration=1, instrument=harpsichord
Note: beat=38, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=38, position=6, pitch=C4, duration=2, instrument=harpsichord
Note: beat=38, position=8, pitch=E4, duration=1, instrument=harpsichord
Note: beat=38, position=9, pitch=D4, duration=1, instrument=harpsichord
Note: beat=38, position=10, pitch=F4, duration=2, instrument=harpsichord
Note: beat=39, position=0, pitch=E4, duration=2, instrument=harpsichord
Note: beat=39, position=2, pitch=G3, duration=1, instrument=harpsichord
Note: beat=39, position=3, pitch=C4, duration=1, instrument=harpsichord
Note: beat=39, position=4, pitch=E4, duration=2, instrument=harpsichord
Note: beat=39, position=6, pitch=D4, duration=2, instrument=harpsichord
Note: beat=39, position=8, pitch=F4, duration=1, instrument=harpsichord
Note: beat=39, position=9, pitch=E4, duration=3, instrument=harpsichord
Note: beat=40, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=40, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=40, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=40, position=9, pitch=C4, duration=3, instrument=harpsichord
Note: beat=41, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=41, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=41, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=41, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=42, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=42, position=3, pitch=B2, duration=6, instrument=harpsichord
Note: beat=42, position=9, pitch=C#3, duration=9, instrument=harpsichord
Note: beat=43, position=6, pitch=D#3, duration=9, instrument=harpsichord
Note: beat=44, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=44, position=6, pitch=E4, duration=6, instrument=harpsichord
Note: beat=45, position=0, pitch=D4, duration=9, instrument=harpsichord
Note: beat=45, position=9, pitch=C4, duration=9, instrument=harpsichord
Note: beat=46, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=46, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=47, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=47, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=47, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=47, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=48, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=48, position=3, pitch=E4, duration=3, instrument=harpsichord
Note: beat=48, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=48, position=9, pitch=C4, duration=3, instrument=harpsichord
Note: beat=49, position=0, pitch=D4, duration=3, instrument=harpsichord
Note: beat=49, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=49, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=49, position=9, pitch=B3, duration=3, instrument=harpsichord
Note: beat=50, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=50, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=50, position=6, pitch=C4, duration=2, instrument=harpsichord
Note: beat=50, position=8, pitch=B3, duration=1, instrument=harpsichord
Note: beat=50, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=50, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=51, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=51, position=2, pitch=D3, duration=1, instrument=harpsichord
Note: beat=51, position=3, pitch=D4, duration=1, instrument=harpsichord
Note: beat=51, position=4, pitch=C4, duration=2, instrument=harpsichord
Note: beat=51, position=6, pitch=B3, duration=2, instrument=harpsichord
Note: beat=51, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=51, position=9, pitch=B3, duration=1, instrument=harpsichord
Note: beat=51, position=10, pitch=A3, duration=2, instrument=harpsichord
Note: beat=52, position=0, pitch=G3, duration=2, instrument=harpsichord
Note: beat=52, position=2, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=52, position=3, pitch=E3, duration=1, instrument=harpsichord
Note: beat=52, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=52, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=52, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=53, position=0, pitch=D2, duration=3, instrument=harpsichord
Note: beat=53, position=3, pitch=G2, duration=3, instrument=harpsichord
Note: beat=53, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=53, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=54, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=54, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=54, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=54, position=9, pitch=D3, duration=1, instrument=harpsichord
Note: beat=54, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=55, position=0, pitch=D3, duration=2, instrument=harpsichord
Note: beat=55, position=2, pitch=E3, duration=1, instrument=harpsichord
Note: beat=55, position=3, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=55, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=55, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=55, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=55, position=9, pitch=G3, duration=1, instrument=harpsichord
Note: beat=55, position=10, pitch=B3, duration=2, instrument=harpsichord
Note: beat=56, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=56, position=2, pitch=C4, duration=1, instrument=harpsichord
Note: beat=56, position=3, pitch=B3, duration=1, instrument=harpsichord
Note: beat=56, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=56, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=56, position=8, pitch=B3, duration=1, instrument=harpsichord
Note: beat=56, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=56, position=10, pitch=C4, duration=2, instrument=harpsichord
Note: beat=57, position=0, pitch=B3, duration=2, instrument=harpsichord
Note: beat=57, position=2, pitch=A3, duration=1, instrument=harpsichord
Note: beat=57, position=3, pitch=G3, duration=1, instrument=harpsichord
Note: beat=57, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=57, position=6, pitch=B3, duration=2, instrument=harpsichord
Note: beat=57, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=57, position=9, pitch=C4, duration=1, instrument=harpsichord
Note: beat=57, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=58, position=0, pitch=C4, duration=2, instrument=harpsichord
Note: beat=58, position=2, pitch=E4, duration=1, instrument=harpsichord
Note: beat=58, position=3, pitch=D4, duration=1, instrument=harpsichord
Note: beat=58, position=4, pitch=F4, duration=2, instrument=harpsichord
Note: beat=58, position=6, pitch=E4, duration=2, instrument=harpsichord
Note: beat=58, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=58, position=9, pitch=C4, duration=1, instrument=harpsichord
Note: beat=58, position=10, pitch=E4, duration=2, instrument=harpsichord
Note: beat=59, position=0, pitch=D4, duration=2, instrument=harpsichord
Note: beat=59, position=2, pitch=F4, duration=1, instrument=harpsichord
Note: beat=59, position=3, pitch=E4, duration=1, instrument=harpsichord
Note: beat=59, position=4, pitch=D4, duration=2, instrument=harpsichord
Note: beat=59, position=6, pitch=C4, duration=2, instrument=harpsichord
Note: beat=59, position=8, pitch=D4, duration=1, instrument=harpsichord
Note: beat=59, position=9, pitch=E4, duration=1, instrument=harpsichord
Note: beat=59, position=10, pitch=C4, duration=2, instrument=harpsichord
Note: beat=60, position=0, pitch=F4, duration=2, instrument=harpsichord
Note: beat=60, position=2, pitch=C4, duration=1, instrument=harpsichord
Note: beat=60, position=3, pitch=F4, duration=1, instrument=harpsichord
Note: beat=60, position=4, pitch=A4, duration=2, instrument=harpsichord
Note: beat=60, position=6, pitch=G4, duration=2, instrument=harpsichord
Note: beat=60, position=8, pitch=A#4, duration=1, instrument=harpsichord
Note: beat=60, position=9, pitch=A4, duration=1, instrument=harpsichord
Note: beat=60, position=10, pitch=C4, duration=2, instrument=harpsichord
Note: beat=61, position=0, pitch=F4, duration=2, instrument=harpsichord
Note: beat=61, position=2, pitch=A4, duration=1, instrument=harpsichord
Note: beat=61, position=3, pitch=G4, duration=1, instrument=harpsichord
Note: beat=61, position=4, pitch=A#4, duration=2, instrument=harpsichord
Note: beat=61, position=6, pitch=A4, duration=3, instrument=harpsichord
Note: beat=61, position=9, pitch=F4, duration=3, instrument=harpsichord
Note: beat=62, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=62, position=3, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=62, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=62, position=9, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=63, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=63, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=63, position=6, pitch=C3, duration=3, instrument=harpsichord
Note: beat=63, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=64, position=0, pitch=D3, duration=4, instrument=harpsichord
Note: beat=64, position=4, pitch=C3, duration=1, instrument=harpsichord
Note: beat=64, position=5, pitch=D3, duration=1, instrument=harpsichord
Note: beat=64, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=64, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=65, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=65, position=3, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=65, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=65, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=66, position=0, pitch=F3, duration=2, instrument=harpsichord
Note: beat=66, position=2, pitch=C3, duration=1, instrument=harpsichord
Note: beat=66, position=3, pitch=F3, duration=1, instrument=harpsichord
Note: beat=66, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=66, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=66, position=8, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=66, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=66, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=67, position=0, pitch=F3, duration=2, instrument=harpsichord
Note: beat=67, position=2, pitch=A3, duration=1, instrument=harpsichord
Note: beat=67, position=3, pitch=G3, duration=1, instrument=harpsichord
Note: beat=67, position=4, pitch=A#3, duration=2, instrument=harpsichord
Note: beat=67, position=6, pitch=A3, duration=2, instrument=harpsichord
Note: beat=67, position=8, pitch=C3, duration=1, instrument=harpsichord
Note: beat=67, position=9, pitch=F3, duration=1, instrument=harpsichord
Note: beat=67, position=10, pitch=A3, duration=2, instrument=harpsichord
Note: beat=68, position=0, pitch=G3, duration=2, instrument=harpsichord
Note: beat=68, position=2, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=68, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=68, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=68, position=6, pitch=F3, duration=2, instrument=harpsichord
Note: beat=68, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=68, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=68, position=10, pitch=F3, duration=2, instrument=harpsichord
Note: beat=69, position=0, pitch=A#3, duration=2, instrument=harpsichord
Note: beat=69, position=2, pitch=F3, duration=1, instrument=harpsichord
Note: beat=69, position=3, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=69, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=69, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=69, position=8, pitch=F3, duration=1, instrument=harpsichord
Note: beat=69, position=9, pitch=G3, duration=1, instrument=harpsichord
Note: beat=69, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=70, position=0, pitch=C4, duration=2, instrument=harpsichord
Note: beat=70, position=2, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=70, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=70, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=70, position=6, pitch=A3, duration=2, instrument=harpsichord
Note: beat=70, position=8, pitch=G3, duration=1, instrument=harpsichord
Note: beat=70, position=9, pitch=F3, duration=1, instrument=harpsichord
Note: beat=70, position=10, pitch=E3, duration=2, instrument=harpsichord
Note: beat=71, position=0, pitch=D3, duration=2, instrument=harpsichord
Note: beat=71, position=2, pitch=C3, duration=1, instrument=harpsichord
Note: beat=71, position=3, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=71, position=4, pitch=G2, duration=2, instrument=harpsichord
Note: beat=71, position=6, pitch=C3, duration=2, instrument=harpsichord
Note: beat=71, position=8, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=71, position=9, pitch=C3, duration=1, instrument=harpsichord
Note: beat=71, position=10, pitch=C2, duration=2, instrument=harpsichord
Note: beat=72, position=0, pitch=F2, duration=2, instrument=harpsichord
Note: beat=72, position=2, pitch=C3, duration=1, instrument=harpsichord
Note: beat=72, position=3, pitch=F3, duration=1, instrument=harpsichord
Note: beat=72, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=72, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=72, position=8, pitch=C3, duration=1, instrument=harpsichord
Note: beat=72, position=9, pitch=D3, duration=1, instrument=harpsichord
Note: beat=72, position=10, pitch=G2, duration=2, instrument=harpsichord
Note: beat=73, position=0, pitch=G3, duration=2, instrument=harpsichord
Note: beat=73, position=2, pitch=F3, duration=1, instrument=harpsichord
Note: beat=73, position=3, pitch=E3, duration=1, instrument=harpsichord
Note: beat=73, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=73, position=6, pitch=E3, duration=2, instrument=harpsichord
Note: beat=73, position=8, pitch=C3, duration=1, instrument=harpsichord
Note: beat=73, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=73, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=74, position=0, pitch=F3, duration=2, instrument=harpsichord
Note: beat=74, position=2, pitch=E3, duration=1, instrument=harpsichord
Note: beat=74, position=3, pitch=F3, duration=1, instrument=harpsichord
Note: beat=74, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=74, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=74, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=75, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=75, position=3, pitch=F3, duration=3, instrument=harpsichord
Note: beat=75, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=75, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=76, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=76, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=76, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=76, position=9, pitch=B2, duration=1, instrument=harpsichord
Note: beat=76, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=77, position=0, pitch=D3, duration=2, instrument=harpsichord
Note: beat=77, position=2, pitch=B2, duration=1, instrument=harpsichord
Note: beat=77, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=77, position=6, pitch=E3, duration=4, instrument=harpsichord
Note: beat=77, position=10, pitch=D3, duration=1, instrument=harpsichord
Note: beat=77, position=11, pitch=E3, duration=1, instrument=harpsichord
Note: beat=78, position=0, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=78, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=78, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=78, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=79, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=79, position=3, pitch=D2, duration=3, instrument=harpsichord
Note: beat=79, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=79, position=9, pitch=G3, duration=9, instrument=harpsichord
Note: beat=80, position=6, pitch=F3, duration=9, instrument=harpsichord
Note: beat=81, position=3, pitch=E3, duration=6, instrument=harpsichord
Note: beat=81, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=82, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=82, position=3, pitch=G2, duration=3, instrument=harpsichord
Note: beat=82, position=6, pitch=C3, duration=2, instrument=harpsichord
Note: beat=82, position=8, pitch=B2, duration=1, instrument=harpsichord
Note: beat=82, position=9, pitch=C3, duration=1, instrument=harpsichord
Note: beat=82, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=83, position=0, pitch=E3, duration=2, instrument=harpsichord
Note: beat=83, position=2, pitch=F3, duration=1, instrument=harpsichord
Note: beat=83, position=3, pitch=G3, duration=1, instrument=harpsichord
Note: beat=83, position=4, pitch=F3, duration=2, instrument=harpsichord
Note: beat=83, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=83, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=83, position=9, pitch=B3, duration=1, instrument=harpsichord
Note: beat=83, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=84, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=84, position=2, pitch=A2, duration=1, instrument=harpsichord
Note: beat=84, position=3, pitch=C3, duration=1, instrument=harpsichord
Note: beat=84, position=4, pitch=B2, duration=2, instrument=harpsichord
Note: beat=84, position=6, pitch=C3, duration=2, instrument=harpsichord
Note: beat=84, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=84, position=9, pitch=E3, duration=1, instrument=harpsichord
Note: beat=84, position=10, pitch=D3, duration=2, instrument=harpsichord
