Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=29, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=30, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=30, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=30, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=30, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=31, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=31, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=31, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=32, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=33, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=33, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=34, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=34, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=34, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=35, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=35, position=2, pitch=G5, duration=2, instrument=recorder
Note: beat=35, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=35, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=35, position=8, pitch=G5, duration=2, instrument=recorder
Note: beat=35, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=36, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=36, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=36, position=8, pitch=G5, duration=2, instrument=recorder
Note: beat=36, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=37, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=37, position=2, pitch=G5, duration=2, instrument=recorder
Note: beat=37, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=37, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=38, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=38, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=38, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=38, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=39, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=39, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=40, position=6, pitch=B4, duration=6, instrument=recorder
Note: beat=41, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=41, position=6, pitch=B4, duration=6, instrument=recorder
Note: beat=42, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=42, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=42, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=42, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=43, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=43, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=43, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=43, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=44, position=0, pitch=B4, duration=3, instrument=recorder
Note: beat=44, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=44, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=44, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=45, position=0, pitch=D#5, duration=3, instrument=recorder
Note: beat=45, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=45, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=45, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=46, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=46, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=46, position=4, pitch=D#5, duration=2, instrument=recorder
Note: beat=46, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=46, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=47, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=47, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=47, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=47, position=9, pitch=D#5, duration=1, instrument=recorder
Note: beat=47, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=48, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=48, position=6, pitch=G5, duration=6, instrument=recorder
Note: beat=49, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=49, position=6, pitch=D#5, duration=6, instrument=recorder
Note: beat=50, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=50, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=51, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=51, position=6, pitch=G5, duration=6, instrument=recorder
Note: beat=52, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=52, position=6, pitch=D#5, duration=6, instrument=recorder
Note: beat=53, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=53, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=54, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=55, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=55, position=6, pitch=C#5, duration=6, instrument=recorder
Note: beat=56, position=6, pitch=E5, duration=6, instrument=recorder
Note: beat=57, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=57, position=6, pitch=C#5, duration=6, instrument=recorder
Note: beat=58, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=58, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=59, position=0, pitch=F5, duration=15, instrument=recorder
Note: beat=60, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=60, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=60, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=61, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=61, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=61, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=61, position=6, pitch=A5, duration=6, instrument=recorder
Note: beat=62, position=0, pitch=A5, duration=15, instrument=recorder
Note: beat=63, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=63, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=63, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=64, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=64, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=64, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=66, position=3, pitch=F4, duration=3, instrument=recorder
Note: beat=66, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=66, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=67, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=67, position=3, pitch=G5, duration=1, instrument=recorder
Note: beat=67, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=67, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=69, position=2, pitch=F4, duration=1, instrument=recorder
Note: beat=69, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=69, position=4, pitch=A4, duration=2, instrument=recorder
Note: beat=69, position=6, pitch=A#4, duration=2, instrument=recorder
Note: beat=69, position=8, pitch=A4, duration=1, instrument=recorder
Note: beat=69, position=9, pitch=A#4, duration=1, instrument=recorder
Note: beat=69, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=70, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=70, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=70, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=70, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=70, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=71, position=3, pitch=D#5, duration=3, instrument=recorder
Note: beat=71, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=71, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=72, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=72, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=72, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=72, position=9, pitch=A#4, duration=3, instrument=recorder
Note: beat=73, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=73, position=3, pitch=C5, duration=1, instrument=recorder
Note: beat=73, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=73, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=73, position=9, pitch=D#5, duration=3, instrument=recorder
Note: beat=74, position=0, pitch=D#5, duration=3, instrument=recorder
Note: beat=74, position=3, pitch=D#5, duration=3, instrument=recorder
Note: beat=74, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=74, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=74, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=75, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=75, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=76, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=76, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=77, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=77, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=78, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=78, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=79, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=79, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=80, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=80, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=81, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=81, position=3, pitch=A#4, duration=1, instrument=recorder
Note: beat=81, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=81, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=81, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=81, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=82, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=82, position=3, pitch=A#4, duration=1, instrument=recorder
Note: beat=82, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=82, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=82, position=9, pitch=G4, duration=1, instrument=recorder
Note: beat=82, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=83, position=0, pitch=D#5, duration=3, instrument=recorder
Note: beat=83, position=3, pitch=C5, duration=1, instrument=recorder
Note: beat=83, position=4, pitch=D#5, duration=2, instrument=recorder
Note: beat=83, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=83, position=9, pitch=D#5, duration=1, instrument=recorder
Note: beat=83, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=84, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=84, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=84, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=84, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=84, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=84, position=10, pitch=A5, duration=2, instrument=recorder
Note: beat=85, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=85, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=85, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=85, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=85, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=85, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=86, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=86, position=3, pitch=D#5, duration=1, instrument=recorder
Note: beat=86, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=86, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=86, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=86, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=87, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=87, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=87, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=87, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=88, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=88, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=88, position=6, pitch=D#5, duration=3, instrument=recorder
Note: beat=88, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=89, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=89, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=89, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=89, position=9, pitch=G4, duration=3, instrument=recorder
Note: beat=90, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=90, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=91, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=91, position=6, pitch=D#5, duration=9, instrument=recorder
Note: beat=92, position=3, pitch=A5, duration=3, instrument=recorder
Note: beat=92, position=6, pitch=A#5, duration=3, instrument=recorder
Note: beat=92, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=93, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=93, position=3, pitch=C6, duration=3, instrument=recorder
Note: beat=93, position=6, pitch=A5, duration=9, instrument=recorder
Note: beat=94, position=3, pitch=A#5, duration=3, instrument=recorder
Note: beat=94, position=6, pitch=A#5, duration=18, instrument=recorder
End of song
