Start of song
Instrument: viola
Start of notes
Note: beat=2, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=9, position=9, pitch=D3, duration=6, instrument=strings
Note: beat=22, position=6, pitch=D5, duration=5, instrument=strings
Note: beat=20, position=6, pitch=A3, duration=3, instrument=strings
Note: beat=27, position=6, pitch=C#4, duration=6, instrument=strings
Note: beat=29, position=9, pitch=D4, duration=3, instrument=strings
Note: beat=23, position=0, pitch=D5, duration=3, instrument=strings
Note: beat=10, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=21, position=0, pitch=G4, duration=3, instrument=strings
Note: beat=26, position=0, pitch=G3, duration=5, instrument=strings
Note: beat=26, position=0, pitch=A3, duration=5, instrument=strings
Note: beat=18, position=6, pitch=D3, duration=3, instrument=strings
Note: beat=19, position=0, pitch=C4, duration=3, instrument=strings
Note: beat=25, position=0, pitch=G3, duration=1, instrument=strings
Note: beat=22, position=6, pitch=A4, duration=5, instrument=strings
Note: beat=14, position=9, pitch=D4, duration=3, instrument=strings
Note: beat=13, position=0, pitch=E3, duration=3, instrument=strings
Note: beat=26, position=6, pitch=A4, duration=3, instrument=strings
Note: beat=27, position=0, pitch=G3, duration=5, instrument=strings
Note: beat=34, position=0, pitch=A3, duration=3, instrument=strings
Note: beat=13, position=0, pitch=G4, duration=3, instrument=strings
Note: beat=34, position=0, pitch=E5, duration=3, instrument=strings
Note: beat=22, position=0, pitch=D3, duration=3, instrument=strings
Note: beat=23, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=19, position=0, pitch=D4, duration=6, instrument=strings
Note: beat=22, position=0, pitch=A4, duration=5, instrument=strings
Note: beat=26, position=6, pitch=B3, duration=3, instrument=strings
Note: beat=32, position=0, pitch=A3, duration=3, instrument=strings
Note: beat=23, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=34, position=0, pitch=F#4, duration=3, instrument=strings
Note: beat=32, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=31, position=0, pitch=C#4, duration=3, instrument=strings
Note: beat=34, position=6, pitch=E4, duration=3, instrument=strings
Note: beat=29, position=0, pitch=G4, duration=3, instrument=strings
Note: beat=23, position=6, pitch=A4, duration=5, instrument=strings
Note: beat=23, position=6, pitch=B3, duration=3, instrument=strings
Note: beat=38, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=28, position=0, pitch=D5, duration=3, instrument=strings
Note: beat=33, position=0, pitch=D3, duration=5, instrument=strings
Note: beat=26, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=25, position=0, pitch=D5, duration=5, instrument=strings
Note: beat=41, position=6, pitch=G4, duration=3, instrument=strings
Note: beat=19, position=6, pitch=B3, duration=1, instrument=strings
Note: beat=20, position=0, pitch=A4, duration=3, instrument=strings
Note: beat=30, position=0, pitch=A3, duration=3, instrument=strings
Note: beat=38, position=6, pitch=G3, duration=3, instrument=strings
Note: beat=20, position=6, pitch=E4, duration=3, instrument=strings
Note: beat=28, position=0, pitch=E5, duration=1, instrument=strings
Note: beat=45, position=0, pitch=A4, duration=3, instrument=strings
Note: beat=48, position=6, pitch=D3, duration=3, instrument=strings
Note: beat=23, position=0, pitch=E4, duration=5, instrument=strings
Note: beat=46, position=6, pitch=D4, duration=6, instrument=strings
Note: beat=32, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=49, position=0, pitch=A3, duration=6, instrument=strings
Note: beat=23, position=0, pitch=A4, duration=1, instrument=strings
Note: beat=32, position=0, pitch=D4, duration=6, instrument=strings
Note: beat=20, position=0, pitch=C#4, duration=3, instrument=strings
Note: beat=39, position=0, pitch=G4, duration=3, instrument=strings
Note: beat=26, position=6, pitch=B3, duration=3, instrument=strings
Note: beat=20, position=0, pitch=C#4, duration=5, instrument=strings
Note: beat=40, position=6, pitch=G4, duration=5, instrument=strings
Note: beat=36, position=0, pitch=D3, duration=3, instrument=strings
Note: beat=42, position=6, pitch=D5, duration=1, instrument=strings
Note: beat=44, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=38, position=0, pitch=E4, duration=3, instrument=strings
Note: beat=29, position=6, pitch=A3, duration=5, instrument=strings
Note: beat=30, position=0, pitch=D4, duration=6, instrument=strings
Note: beat=48, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=30, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=45, position=0, pitch=D5, duration=3, instrument=strings
Note: beat=62, position=0, pitch=A3, duration=3, instrument=strings
Note: beat=45, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=52, position=6, pitch=E4, duration=3, instrument=strings
Note: beat=49, position=6, pitch=B3, duration=3, instrument=strings
Note: beat=29, position=0, pitch=B3, duration=3, instrument=strings
Note: beat=36, position=0, pitch=G4, duration=3, instrument=strings
Note: beat=62, position=0, pitch=D4, duration=1, instrument=strings
Note: beat=44, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=48, position=0, pitch=A4, duration=3, instrument=strings
Note: beat=41, position=0, pitch=E5, duration=1, instrument=strings
Note: beat=41, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=52, position=0, pitch=G3, duration=6, instrument=strings
Note: beat=32, position=0, pitch=D3, duration=1, instrument=strings
Note: beat=31, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=44, position=0, pitch=D4, duration=1, instrument=strings
Note: beat=48, position=0, pitch=D5, duration=3, instrument=strings
Note: beat=36, position=0, pitch=G3, duration=1, instrument=strings
Note: beat=46, position=6, pitch=B3, duration=3, instrument=strings
Note: beat=66, position=0, pitch=C#4, duration=5, instrument=strings
Note: beat=32, position=6, pitch=D4, duration=5, instrument=strings
Note: beat=48, position=0, pitch=C#4, duration=3, instrument=strings
Note: beat=68, position=0, pitch=E4, duration=3, instrument=strings
Note: beat=38, position=0, pitch=E5, duration=3, instrument=strings
Note: beat=34, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=60, position=6, pitch=D4, duration=3, instrument=strings
