Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=D3, duration=12, instrument=recorder
Note: beat=63, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=70, position=6, pitch=A#4, duration=12, instrument=recorder
Note: beat=63, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=70, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=76, position=6, pitch=E4, duration=6, instrument=recorder
Note: beat=76, position=0, pitch=D5, duration=12, instrument=recorder
Note: beat=80, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=74, position=0, pitch=G3, duration=3, instrument=recorder
Note: beat=84, position=0, pitch=A#3, duration=6, instrument=recorder
Note: beat=71, position=6, pitch=F3, duration=3, instrument=recorder
Note: beat=73, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=62, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=73, position=0, pitch=A#3, duration=12, instrument=recorder
Note: beat=69, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=76, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=73, position=0, pitch=A#4, duration=12, instrument=recorder
Note: beat=66, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=63, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=76, position=6, pitch=C4, duration=18, instrument=recorder
Note: beat=92, position=6, pitch=A#3, duration=12, instrument=recorder
Note: beat=77, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=77, position=0, pitch=C4, duration=18, instrument=recorder
Note: beat=80, position=0, pitch=D3, duration=6, instrument=recorder
Note: beat=73, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=68, position=0, pitch=D#4, duration=12, instrument=recorder
Note: beat=85, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=64, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=82, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=88, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=86, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=74, position=0, pitch=A#3, duration=18, instrument=recorder
Note: beat=78, position=0, pitch=A#3, duration=6, instrument=recorder
Note: beat=74, position=6, pitch=A#4, duration=18, instrument=recorder
Note: beat=78, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=82, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=85, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=95, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=90, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=85, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=85, position=0, pitch=G3, duration=3, instrument=recorder
Note: beat=92, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=97, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=72, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=78, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=83, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=91, position=6, pitch=D4, duration=6, instrument=recorder
Note: beat=97, position=6, pitch=C4, duration=6, instrument=recorder
Note: beat=107, position=0, pitch=C5, duration=12, instrument=recorder
Note: beat=78, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=77, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=104, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=107, position=6, pitch=D4, duration=6, instrument=recorder
Note: beat=87, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=78, position=6, pitch=D4, duration=6, instrument=recorder
Note: beat=107, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=77, position=6, pitch=G4, duration=12, instrument=recorder
Note: beat=92, position=6, pitch=F3, duration=6, instrument=recorder
Note: beat=84, position=0, pitch=D5, duration=12, instrument=recorder
Note: beat=91, position=0, pitch=G3, duration=6, instrument=recorder
Note: beat=80, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=96, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=85, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=92, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=105, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=84, position=0, pitch=G4, duration=12, instrument=recorder
Note: beat=99, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=91, position=6, pitch=A4, duration=12, instrument=recorder
Note: beat=87, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=91, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=107, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=106, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=104, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=110, position=6, pitch=G3, duration=6, instrument=recorder
Note: beat=91, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=116, position=0, pitch=D5, duration=12, instrument=recorder
Note: beat=109, position=0, pitch=G4, duration=12, instrument=recorder
Note: beat=98, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=98, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=123, position=0, pitch=C5, duration=12, instrument=recorder
Note: beat=109, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=97, position=0, pitch=D3, duration=12, instrument=recorder
Note: beat=105, position=0, pitch=G4, duration=12, instrument=recorder
Note: beat=105, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=114, position=6, pitch=C4, duration=6, instrument=recorder
Note: beat=94, position=6, pitch=A#3, duration=6, instrument=recorder
Note: beat=105, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=95, position=6, pitch=G3, duration=6, instrument=recorder
Note: beat=107, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=123, position=6, pitch=D4, duration=12, instrument=recorder
Note: beat=123, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=112, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=109, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=109, position=6, pitch=D5, duration=12, instrument=recorder
Note: beat=90, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=106, position=6, pitch=D4, duration=9, instrument=recorder
Note: beat=113, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=129, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=122, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=123, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=126, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=124, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=115, position=0, pitch=G4, duration=12, instrument=recorder
Note: beat=111, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=106, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=110, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=108, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=121, position=6, pitch=C4, duration=12, instrument=recorder
Note: beat=113, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=110, position=6, pitch=D4, duration=3, instrument=recorder
Note: beat=110, position=0, pitch=D5, duration=12, instrument=recorder
Note: beat=117, position=6, pitch=E4, duration=12, instrument=recorder
Note: beat=109, position=0, pitch=G4, duration=18, instrument=recorder
Note: beat=111, position=0, pitch=C4, duration=12, instrument=recorder
Note: beat=124, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=116, position=6, pitch=G3, duration=12, instrument=recorder
Note: beat=108, position=0, pitch=E4, duration=6, instrument=recorder
Note: beat=149, position=6, pitch=A3, duration=18, instrument=recorder
Note: beat=125, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=145, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=114, position=0, pitch=D4, duration=18, instrument=recorder
Note: beat=110, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=106, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=124, position=6, pitch=D4, duration=6, instrument=recorder
Note: beat=148, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=132, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=138, position=6, pitch=D5, duration=12, instrument=recorder
Note: beat=112, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=105, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=127, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=127, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=120, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=159, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=154, position=6, pitch=C4, duration=12, instrument=recorder
Note: beat=149, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=148, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=154, position=6, pitch=G4, duration=12, instrument=recorder
Note: beat=127, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=138, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=159, position=0, pitch=G4, duration=12, instrument=recorder
Note: beat=131, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=157, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=149, position=6, pitch=A3, duration=6, instrument=recorder
Note: beat=111, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=168, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=129, position=0, pitch=E4, duration=3, instrument=recorder
Note: beat=146, position=0, pitch=C5, duration=12, instrument=recorder
Note: beat=161, position=6, pitch=G3, duration=3, instrument=recorder
Note: beat=160, position=6, pitch=F3, duration=6, instrument=recorder
Note: beat=161, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=156, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=126, position=0, pitch=A3, duration=3, instrument=recorder
Note: beat=159, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=162, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=157, position=0, pitch=C5, duration=12, instrument=recorder
Note: beat=165, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=173, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=157, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=159, position=0, pitch=A#4, duration=12, instrument=recorder
Note: beat=183, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=148, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=168, position=0, pitch=F3, duration=3, instrument=recorder
Note: beat=170, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=162, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=171, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=166, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=169, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=129, position=0, pitch=D4, duration=3, instrument=recorder
Note: beat=167, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=169, position=6, pitch=G4, duration=6, instrument=recorder
Note: beat=165, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=146, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=154, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=153, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=183, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=149, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=167, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=148, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=158, position=0, pitch=A#3, duration=18, instrument=recorder
Note: beat=168, position=6, pitch=F5, duration=18, instrument=recorder
Note: beat=160, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=148, position=6, pitch=D5, duration=18, instrument=recorder
Note: beat=177, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=171, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=171, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=168, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=183, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=189, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=162, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=165, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=170, position=0, pitch=A#3, duration=3, instrument=recorder
Note: beat=161, position=0, pitch=A#3, duration=3, instrument=recorder
Note: beat=194, position=0, pitch=A#4, duration=12, instrument=recorder
Note: beat=153, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=163, position=0, pitch=A4, duration=18, instrument=recorder
Note: beat=169, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=162, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=164, position=6, pitch=F3, duration=3, instrument=recorder
Note: beat=153, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=154, position=0, pitch=D4, duration=6, instrument=recorder
Note: beat=166, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=160, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=171, position=6, pitch=G3, duration=18, instrument=recorder
Note: beat=191, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=186, position=0, pitch=G4, duration=3, instrument=recorder
Note: beat=191, position=0, pitch=G4, duration=6, instrument=recorder
Note: beat=172, position=0, pitch=A#3, duration=3, instrument=recorder
Note: beat=157, position=0, pitch=C4, duration=6, instrument=recorder
Note: beat=191, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=160, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=161, position=0, pitch=A#4, duration=18, instrument=recorder
Note: beat=181, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=192, position=0, pitch=A4, duration=6, instrument=recorder
Note: beat=172, position=0, pitch=F3, duration=12, instrument=recorder
Note: beat=186, position=0, pitch=D4, duration=6, instrument=recorder
Note: beat=158, position=0, pitch=A4, duration=12, instrument=recorder
Note: beat=169, position=6, pitch=C4, duration=12, instrument=recorder
Note: beat=159, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=187, position=0, pitch=G4, duration=12, instrument=recorder
Note: beat=169, position=0, pitch=F3, duration=3, instrument=recorder
Note: beat=182, position=6, pitch=F3, duration=12, instrument=recorder
Note: beat=194, position=6, pitch=D4, duration=6, instrument=recorder
Note: beat=189, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=199, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=172, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=199, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=157, position=6, pitch=D5, duration=6, instrument=recorder
Note: beat=182, position=0, pitch=A#4, duration=12, instrument=recorder
Note: beat=191, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=157, position=0, pitch=D#4, duration=3, instrument=recorder
Note: beat=190, position=0, pitch=G4, duration=18, instrument=recorder
Note: beat=187, position=6, pitch=A#3, duration=3, instrument=recorder
Note: beat=183, position=6, pitch=G4, duration=12, instrument=recorder
Note: beat=198, position=6, pitch=A4, duration=6, instrument=recorder
Note: beat=187, position=6, pitch=A#4, duration=6, instrument=recorder
Note: beat=159, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=205, position=6, pitch=C5, duration=12, instrument=recorder
Note: beat=171, position=6, pitch=C4, duration=3, instrument=recorder
Note: beat=189, position=6, pitch=C4, duration=6, instrument=recorder
Note: beat=196, position=0, pitch=F4, duration=6, instrument=recorder
Note: beat=185, position=0, pitch=C4, duration=18, instrument=recorder
Note: beat=169, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=173, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=173, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=166, position=0, pitch=F4, duration=12, instrument=recorder
Note: beat=160, position=0, pitch=F5, duration=3, instrument=recorder
Start of song
