Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=C4, duration=12, instrument=harpsichord
Note: beat=64, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=65, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=65, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=66, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=66, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=67, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=67, position=3, pitch=G2, duration=3, instrument=harpsichord
Note: beat=67, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=67, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=68, position=0, pitch=E3, duration=9, instrument=harpsichord
Note: beat=68, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=69, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=69, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=70, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=70, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=71, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=71, position=6, pitch=A2, duration=6, instrument=harpsichord
Note: beat=72, position=0, pitch=B2, duration=6, instrument=harpsichord
Note: beat=72, position=6, pitch=G2, duration=6, instrument=harpsichord
Note: beat=73, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=73, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=74, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=74, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=75, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=75, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=76, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=76, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=77, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=77, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=78, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=78, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=79, position=0, pitch=B2, duration=12, instrument=harpsichord
Note: beat=80, position=0, pitch=B3, duration=6, instrument=harpsichord
Note: beat=80, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=81, position=0, pitch=C4, duration=6, instrument=harpsichord
Note: beat=81, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=82, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=82, position=6, pitch=G2, duration=6, instrument=harpsichord
Note: beat=83, position=0, pitch=C3, duration=12, instrument=harpsichord
Note: beat=84, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=84, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=85, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=85, position=6, pitch=E3, duration=6, instrument=harpsichord
Note: beat=86, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=86, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=87, position=0, pitch=B2, duration=12, instrument=harpsichord
Note: beat=88, position=0, pitch=B3, duration=6, instrument=harpsichord
Note: beat=88, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=89, position=0, pitch=C4, duration=6, instrument=harpsichord
Note: beat=89, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=90, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=90, position=6, pitch=G2, duration=6, instrument=harpsichord
Note: beat=91, position=0, pitch=C3, duration=12, instrument=harpsichord
End of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
