Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=G3, duration=6, instrument=harp
Note: beat=38, position=6, pitch=A3, duration=3, instrument=harp
Note: beat=32, position=9, pitch=A4, duration=2, instrument=harp
Note: beat=51, position=3, pitch=F4, duration=6, instrument=harp
Note: beat=38, position=6, pitch=C4, duration=3, instrument=harp
Note: beat=46, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=41, position=3, pitch=E4, duration=3, instrument=harp
Note: beat=39, position=3, pitch=C5, duration=3, instrument=harp
Note: beat=49, position=0, pitch=E5, duration=3, instrument=harp
Note: beat=41, position=9, pitch=B4, duration=3, instrument=harp
Note: beat=39, position=0, pitch=F5, duration=1, instrument=harp
Note: beat=40, position=3, pitch=D5, duration=1, instrument=harp
Note: beat=53, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=30, position=3, pitch=E5, duration=3, instrument=harp
Note: beat=31, position=3, pitch=F4, duration=3, instrument=harp
Note: beat=32, position=9, pitch=G4, duration=6, instrument=harp
Note: beat=37, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=31, position=6, pitch=E5, duration=6, instrument=harp
Note: beat=35, position=6, pitch=C5, duration=1, instrument=harp
Note: beat=36, position=0, pitch=G5, duration=3, instrument=harp
Note: beat=35, position=0, pitch=G4, duration=2, instrument=harp
Note: beat=30, position=0, pitch=C5, duration=1, instrument=harp
Note: beat=41, position=9, pitch=D5, duration=3, instrument=harp
Note: beat=31, position=9, pitch=C5, duration=1, instrument=harp
Note: beat=35, position=6, pitch=C4, duration=3, instrument=harp
Note: beat=53, position=6, pitch=G4, duration=1, instrument=harp
Note: beat=50, position=9, pitch=E4, duration=3, instrument=harp
Note: beat=40, position=3, pitch=C5, duration=2, instrument=harp
Note: beat=33, position=3, pitch=A4, duration=1, instrument=harp
Note: beat=42, position=0, pitch=F4, duration=1, instrument=harp
Note: beat=47, position=3, pitch=A3, duration=1, instrument=harp
Note: beat=47, position=9, pitch=E4, duration=3, instrument=harp
Note: beat=41, position=0, pitch=C5, duration=2, instrument=harp
Note: beat=30, position=3, pitch=G4, duration=3, instrument=harp
Note: beat=47, position=6, pitch=G4, duration=3, instrument=harp
Note: beat=47, position=0, pitch=E4, duration=1, instrument=harp
Note: beat=43, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=44, position=6, pitch=C5, duration=3, instrument=harp
Note: beat=49, position=3, pitch=C5, duration=3, instrument=harp
Note: beat=56, position=3, pitch=G4, duration=3, instrument=harp
Note: beat=44, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=50, position=0, pitch=G4, duration=2, instrument=harp
Note: beat=53, position=0, pitch=A4, duration=1, instrument=harp
Note: beat=51, position=3, pitch=C5, duration=2, instrument=harp
Note: beat=40, position=3, pitch=D5, duration=3, instrument=harp
Note: beat=39, position=6, pitch=G5, duration=1, instrument=harp
Note: beat=45, position=3, pitch=G4, duration=3, instrument=harp
Note: beat=46, position=0, pitch=G4, duration=6, instrument=harp
Note: beat=40, position=6, pitch=F5, duration=3, instrument=harp
Note: beat=47, position=0, pitch=D5, duration=2, instrument=harp
Note: beat=36, position=0, pitch=G4, duration=2, instrument=harp
Note: beat=47, position=0, pitch=D4, duration=3, instrument=harp
Note: beat=45, position=6, pitch=E5, duration=1, instrument=harp
Note: beat=54, position=9, pitch=E4, duration=3, instrument=harp
Note: beat=48, position=6, pitch=E4, duration=1, instrument=harp
Note: beat=53, position=0, pitch=E5, duration=6, instrument=harp
Note: beat=40, position=0, pitch=C5, duration=6, instrument=harp
Note: beat=44, position=3, pitch=B4, duration=2, instrument=harp
Note: beat=50, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=44, position=6, pitch=F3, duration=3, instrument=harp
Note: beat=52, position=0, pitch=A4, duration=1, instrument=harp
Note: beat=59, position=3, pitch=E5, duration=3, instrument=harp
Note: beat=47, position=0, pitch=E4, duration=1, instrument=harp
Note: beat=51, position=6, pitch=C4, duration=3, instrument=harp
Note: beat=65, position=3, pitch=B4, duration=2, instrument=harp
Note: beat=44, position=0, pitch=C4, duration=3, instrument=harp
Note: beat=58, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=56, position=3, pitch=B4, duration=3, instrument=harp
Note: beat=54, position=0, pitch=C4, duration=2, instrument=harp
Note: beat=61, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=67, position=0, pitch=E5, duration=6, instrument=harp
Note: beat=46, position=3, pitch=E4, duration=3, instrument=harp
Note: beat=56, position=6, pitch=D4, duration=3, instrument=harp
Note: beat=59, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=53, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=52, position=6, pitch=C4, duration=3, instrument=harp
Note: beat=49, position=6, pitch=B4, duration=1, instrument=harp
Note: beat=57, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=70, position=3, pitch=G4, duration=3, instrument=harp
Note: beat=64, position=9, pitch=B4, duration=1, instrument=harp
Note: beat=69, position=9, pitch=D4, duration=3, instrument=harp
Note: beat=52, position=9, pitch=D5, duration=6, instrument=harp
Note: beat=53, position=6, pitch=G5, duration=1, instrument=harp
Note: beat=56, position=3, pitch=E5, duration=1, instrument=harp
Note: beat=51, position=3, pitch=C5, duration=3, instrument=harp
Note: beat=63, position=6, pitch=C5, duration=3, instrument=harp
Note: beat=62, position=6, pitch=E4, duration=1, instrument=harp
Note: beat=46, position=0, pitch=A4, duration=2, instrument=harp
Note: beat=63, position=6, pitch=G4, duration=3, instrument=harp
Note: beat=47, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=62, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=65, position=0, pitch=A3, duration=1, instrument=harp
Note: beat=72, position=6, pitch=G4, duration=1, instrument=harp
Note: beat=50, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=54, position=0, pitch=D4, duration=3, instrument=harp
Note: beat=63, position=6, pitch=A4, duration=1, instrument=harp
Note: beat=63, position=0, pitch=D5, duration=2, instrument=harp
Note: beat=62, position=6, pitch=E5, duration=1, instrument=harp
Note: beat=61, position=0, pitch=G5, duration=2, instrument=harp
Note: beat=46, position=6, pitch=C5, duration=1, instrument=harp
Note: beat=71, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=65, position=6, pitch=F4, duration=1, instrument=harp
Note: beat=53, position=0, pitch=B4, duration=1, instrument=harp
Note: beat=68, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=63, position=0, pitch=A4, duration=6, instrument=harp
Note: beat=50, position=6, pitch=G4, duration=1, instrument=harp
Note: beat=57, position=0, pitch=E5, duration=3, instrument=harp
Note: beat=56, position=0, pitch=D5, duration=2, instrument=harp
Note: beat=79, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=52, position=0, pitch=D5, duration=2, instrument=harp
Note: beat=57, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=73, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=50, position=0, pitch=F5, duration=1, instrument=harp
Note: beat=79, position=0, pitch=F4, duration=1, instrument=harp
Note: beat=70, position=0, pitch=D4, duration=3, instrument=harp
Note: beat=69, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=61, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=68, position=6, pitch=C5, duration=1, instrument=harp
Note: beat=56, position=0, pitch=G4, duration=6, instrument=harp
Note: beat=82, position=3, pitch=G4, duration=3, instrument=harp
Note: beat=67, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=67, position=0, pitch=B4, duration=3, instrument=harp
Note: beat=87, position=6, pitch=F4, duration=1, instrument=harp
Note: beat=74, position=3, pitch=C5, duration=3, instrument=harp
Note: beat=80, position=6, pitch=A4, duration=2, instrument=harp
Note: beat=82, position=0, pitch=A4, duration=6, instrument=harp
Note: beat=65, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=70, position=0, pitch=D5, duration=6, instrument=harp
Note: beat=68, position=0, pitch=B4, duration=6, instrument=harp
Note: beat=73, position=0, pitch=F4, duration=2, instrument=harp
Note: beat=81, position=3, pitch=C5, duration=3, instrument=harp
Note: beat=77, position=0, pitch=C4, duration=3, instrument=harp
Note: beat=61, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=86, position=6, pitch=E5, duration=1, instrument=harp
Note: beat=67, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=63, position=3, pitch=G4, duration=3, instrument=harp
Note: beat=73, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=65, position=6, pitch=F4, duration=2, instrument=harp
Note: beat=63, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=67, position=6, pitch=A#4, duration=3, instrument=harp
Note: beat=66, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=74, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=69, position=0, pitch=F4, duration=2, instrument=harp
Note: beat=67, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=83, position=0, pitch=F5, duration=3, instrument=harp
Note: beat=63, position=6, pitch=D5, duration=3, instrument=harp
Note: beat=70, position=6, pitch=B4, duration=3, instrument=harp
Note: beat=86, position=6, pitch=F5, duration=2, instrument=harp
Note: beat=82, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=73, position=6, pitch=C5, duration=3, instrument=harp
Note: beat=71, position=6, pitch=D5, duration=3, instrument=harp
Note: beat=80, position=0, pitch=C5, duration=2, instrument=harp
Note: beat=71, position=0, pitch=C5, duration=1, instrument=harp
Note: beat=87, position=6, pitch=A#4, duration=1, instrument=harp
Note: beat=69, position=6, pitch=A#4, duration=3, instrument=harp
Note: beat=87, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=79, position=0, pitch=G5, duration=3, instrument=harp
Note: beat=82, position=0, pitch=A4, duration=2, instrument=harp
Note: beat=89, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=80, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=82, position=6, pitch=F4, duration=2, instrument=harp
Note: beat=71, position=6, pitch=C5, duration=1, instrument=harp
Note: beat=85, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=82, position=0, pitch=B4, duration=2, instrument=harp
Note: beat=82, position=6, pitch=F5, duration=2, instrument=harp
Note: beat=80, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=87, position=0, pitch=G5, duration=3, instrument=harp
Note: beat=89, position=6, pitch=G5, duration=3, instrument=harp
Note: beat=85, position=0, pitch=G5, duration=6, instrument=harp
Note: beat=86, position=0, pitch=D5, duration=6, instrument=harp
Note: beat=75, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=91, position=6, pitch=G5, duration=3, instrument=harp
Note: beat=89, position=6, pitch=E4, duration=2, instrument=harp
Note: beat=91, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=79, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=67, position=0, pitch=B4, duration=3, instrument=harp
Note: beat=95, position=6, pitch=G5, duration=3, instrument=harp
Note: beat=80, position=0, pitch=A4, duration=6, instrument=harp
Note: beat=98, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=80, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=83, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=85, position=0, pitch=A4, duration=1, instrument=harp
Note: beat=79, position=0, pitch=G4, duration=2, instrument=harp
Note: beat=86, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=86, position=6, pitch=B4, duration=3, instrument=harp
Note: beat=80, position=6, pitch=C5, duration=6, instrument=harp
Note: beat=83, position=3, pitch=E5, duration=3, instrument=harp
Note: beat=89, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=89, position=3, pitch=G4, duration=3, instrument=harp
Note: beat=93, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=80, position=3, pitch=C4, duration=3, instrument=harp
Note: beat=87, position=6, pitch=C4, duration=3, instrument=harp
Note: beat=93, position=6, pitch=A#4, duration=2, instrument=harp
Note: beat=79, position=6, pitch=E4, duration=1, instrument=harp
Note: beat=80, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=94, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=91, position=0, pitch=B4, duration=2, instrument=harp
Note: beat=92, position=0, pitch=G4, duration=6, instrument=harp
Note: beat=84, position=0, pitch=C4, duration=6, instrument=harp
Note: beat=82, position=6, pitch=F4, duration=2, instrument=harp
Note: beat=87, position=3, pitch=B4, duration=1, instrument=harp
Note: beat=84, position=6, pitch=C4, duration=1, instrument=harp
Note: beat=86, position=6, pitch=G4, duration=3, instrument=harp
Note: beat=90, position=0, pitch=F5, duration=3, instrument=harp
Note: beat=85, position=0, pitch=C5, duration=1, instrument=harp
Note: beat=95, position=0, pitch=E4, duration=6, instrument=harp
Note: beat=120, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=120, position=6, pitch=D4, duration=1, instrument=harp
Note: beat=96, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=91, position=0, pitch=C5, duration=2, instrument=harp
Note: beat=120, position=6, pitch=A4, duration=6, instrument=harp
Note: beat=93, position=0, pitch=F5, duration=3, instrument=harp
Note: beat=110, position=3, pitch=C4, duration=1, instrument=harp
Note: beat=132, position=0, pitch=C5, duration=1, instrument=harp
Note: beat=96, position=6, pitch=E5, duration=6, instrument=harp
Note: beat=120, position=0, pitch=D4, duration=3, instrument=harp
Note: beat=97, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=119, position=6, pitch=D4, duration=2, instrument=harp
Note: beat=114, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=96, position=6, pitch=C5, duration=1, instrument=harp
Note: beat=84, position=0, pitch=C4, duration=6, instrument=harp
Note: beat=89, position=6, pitch=A#4, duration=6, instrument=harp
Note: beat=97, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=102, position=0, pitch=D5, duration=1, instrument=harp
Note: beat=93, position=0, pitch=E5, duration=3, instrument=harp
Note: beat=86, position=6, pitch=C5, duration=3, instrument=harp
Note: beat=135, position=0, pitch=B4, duration=2, instrument=harp
Note: beat=121, position=0, pitch=A4, duration=1, instrument=harp
Note: beat=135, position=6, pitch=F5, duration=3, instrument=harp
Note: beat=104, position=0, pitch=F5, duration=6, instrument=harp
Note: beat=130, position=6, pitch=G4, duration=6, instrument=harp
Note: beat=89, position=6, pitch=G4, duration=1, instrument=harp
Note: beat=119, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=131, position=0, pitch=G4, duration=1, instrument=harp
Note: beat=85, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=133, position=0, pitch=A4, duration=6, instrument=harp
Note: beat=132, position=6, pitch=A4, duration=1, instrument=harp
Note: beat=123, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=134, position=6, pitch=B4, duration=2, instrument=harp
Note: beat=124, position=6, pitch=F5, duration=3, instrument=harp
Note: beat=114, position=6, pitch=D4, duration=1, instrument=harp
Note: beat=104, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=110, position=3, pitch=D5, duration=3, instrument=harp
Note: beat=135, position=6, pitch=B4, duration=1, instrument=harp
Note: beat=86, position=0, pitch=E5, duration=2, instrument=harp
Note: beat=114, position=0, pitch=B4, duration=2, instrument=harp
Note: beat=94, position=6, pitch=A4, duration=1, instrument=harp
Note: beat=136, position=0, pitch=A#4, duration=2, instrument=harp
Note: beat=123, position=0, pitch=C4, duration=3, instrument=harp
Note: beat=110, position=6, pitch=C4, duration=3, instrument=harp
Note: beat=136, position=0, pitch=F4, duration=1, instrument=harp
Note: beat=104, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=134, position=0, pitch=F5, duration=2, instrument=harp
Note: beat=87, position=0, pitch=A4, duration=2, instrument=harp
Note: beat=134, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=130, position=6, pitch=D5, duration=3, instrument=harp
Note: beat=95, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=130, position=0, pitch=G4, duration=2, instrument=harp
Note: beat=87, position=0, pitch=D5, duration=1, instrument=harp
Note: beat=114, position=6, pitch=D4, duration=1, instrument=harp
Note: beat=122, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=122, position=0, pitch=E5, duration=1, instrument=harp
Note: beat=87, position=0, pitch=F5, duration=3, instrument=harp
Note: beat=141, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=122, position=6, pitch=B4, duration=2, instrument=harp
Note: beat=119, position=6, pitch=D5, duration=1, instrument=harp
Note: beat=120, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=121, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=98, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=121, position=6, pitch=G4, duration=2, instrument=harp
Note: beat=87, position=6, pitch=D5, duration=1, instrument=harp
Note: beat=134, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=86, position=6, pitch=D4, duration=3, instrument=harp
Note: beat=98, position=0, pitch=A4, duration=2, instrument=harp
Note: beat=95, position=6, pitch=E5, duration=6, instrument=harp
Note: beat=141, position=3, pitch=A4, duration=6, instrument=harp
Note: beat=131, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=131, position=6, pitch=D4, duration=3, instrument=harp
Note: beat=132, position=0, pitch=E4, duration=1, instrument=harp
Note: beat=122, position=0, pitch=D4, duration=6, instrument=harp
Note: beat=87, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=122, position=0, pitch=C4, duration=1, instrument=harp
Note: beat=133, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=135, position=0, pitch=A4, duration=3, instrument=harp
Note: beat=86, position=6, pitch=A#4, duration=1, instrument=harp
Note: beat=133, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=114, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=141, position=0, pitch=F4, duration=1, instrument=harp
Note: beat=141, position=6, pitch=D5, duration=2, instrument=harp
Note: beat=89, position=6, pitch=A4, duration=6, instrument=harp
Note: beat=110, position=0, pitch=F4, duration=1, instrument=harp
Note: beat=89, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=106, position=6, pitch=E5, duration=1, instrument=harp
Note: beat=87, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=110, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=89, position=0, pitch=E4, duration=6, instrument=harp
Note: beat=101, position=6, pitch=A4, duration=2, instrument=harp
Note: beat=90, position=0, pitch=E4, duration=2, instrument=harp
Note: beat=96, position=0, pitch=E4, duration=1, instrument=harp
Note: beat=99, position=6, pitch=C5, duration=2, instrument=harp
Note: beat=98, position=6, pitch=G3, duration=3, instrument=harp
Note: beat=99, position=6, pitch=G4, duration=1, instrument=harp
Note: beat=120, position=6, pitch=A4, duration=2, instrument=harp
Note: beat=120, position=6, pitch=A4, duration=1, instrument=harp
Note: beat=95, position=0, pitch=F3, duration=1, instrument=harp
Note: beat=106, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=87, position=0, pitch=C5, duration=6, instrument=harp
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
