Start of song
Instrument: viola
Start of notes
Note: beat=0, position=6, pitch=B3, duration=6, instrument=cello
Note: beat=85, position=0, pitch=D#3, duration=3, instrument=cello
Note: beat=79, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=79, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=102, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=84, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=79, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=90, position=0, pitch=G2, duration=12, instrument=cello
Note: beat=90, position=0, pitch=F2, duration=3, instrument=cello
Note: beat=82, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=82, position=0, pitch=A#3, duration=3, instrument=cello
Note: beat=96, position=6, pitch=F2, duration=12, instrument=cello
Note: beat=92, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=76, position=0, pitch=F2, duration=12, instrument=cello
Note: beat=127, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=120, position=6, pitch=A3, duration=6, instrument=cello
Note: beat=82, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=105, position=0, pitch=F2, duration=6, instrument=cello
Note: beat=103, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=126, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=120, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=100, position=6, pitch=G2, duration=6, instrument=cello
Note: beat=117, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=80, position=6, pitch=A2, duration=6, instrument=cello
Note: beat=102, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=102, position=0, pitch=F2, duration=12, instrument=cello
Note: beat=109, position=6, pitch=A#3, duration=3, instrument=cello
Note: beat=100, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=111, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=111, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=127, position=6, pitch=F2, duration=6, instrument=cello
Note: beat=120, position=0, pitch=C3, duration=3, instrument=cello
Note: beat=123, position=0, pitch=G2, duration=6, instrument=cello
Note: beat=106, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=128, position=6, pitch=F3, duration=6, instrument=cello
Note: beat=108, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=124, position=6, pitch=F2, duration=6, instrument=cello
Note: beat=128, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=149, position=6, pitch=G2, duration=12, instrument=cello
Note: beat=111, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=123, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=116, position=0, pitch=D3, duration=12, instrument=cello
Note: beat=109, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=132, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=129, position=6, pitch=G2, duration=5, instrument=cello
Note: beat=125, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=139, position=6, pitch=D4, duration=3, instrument=cello
Note: beat=120, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=150, position=0, pitch=C4, duration=3, instrument=cello
Note: beat=122, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=116, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=149, position=6, pitch=C4, duration=12, instrument=cello
Note: beat=133, position=0, pitch=C3, duration=3, instrument=cello
Note: beat=150, position=0, pitch=D4, duration=12, instrument=cello
Note: beat=125, position=6, pitch=F3, duration=12, instrument=cello
Note: beat=132, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=122, position=0, pitch=A#2, duration=12, instrument=cello
Note: beat=141, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=141, position=6, pitch=D#3, duration=6, instrument=cello
Note: beat=130, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=127, position=6, pitch=A#3, duration=3, instrument=cello
Note: beat=141, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=133, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=126, position=0, pitch=D3, duration=12, instrument=cello
Note: beat=133, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=150, position=6, pitch=A#2, duration=12, instrument=cello
Note: beat=130, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=126, position=0, pitch=A3, duration=6, instrument=cello
Note: beat=120, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=169, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=168, position=6, pitch=F2, duration=6, instrument=cello
Note: beat=155, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=159, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=133, position=0, pitch=A3, duration=12, instrument=cello
Note: beat=151, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=147, position=6, pitch=A#3, duration=6, instrument=cello
Note: beat=171, position=0, pitch=D#3, duration=12, instrument=cello
Note: beat=171, position=0, pitch=D#3, duration=12, instrument=cello
Note: beat=154, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=171, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=132, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=164, position=0, pitch=D#3, duration=3, instrument=cello
Note: beat=166, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=186, position=0, pitch=A#3, duration=12, instrument=cello
Note: beat=172, position=0, pitch=A#3, duration=6, instrument=cello
Note: beat=153, position=6, pitch=G2, duration=6, instrument=cello
Note: beat=171, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=151, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=166, position=6, pitch=G2, duration=6, instrument=cello
Note: beat=174, position=0, pitch=D#3, duration=3, instrument=cello
Note: beat=168, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=169, position=0, pitch=F3, duration=12, instrument=cello
Note: beat=170, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=179, position=0, pitch=F2, duration=6, instrument=cello
Note: beat=175, position=0, pitch=A#3, duration=12, instrument=cello
Note: beat=167, position=6, pitch=F3, duration=6, instrument=cello
Note: beat=171, position=6, pitch=A2, duration=12, instrument=cello
Note: beat=177, position=6, pitch=G2, duration=6, instrument=cello
Note: beat=179, position=0, pitch=A#3, duration=6, instrument=cello
Note: beat=157, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=154, position=0, pitch=G2, duration=6, instrument=cello
Start of song
