Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=67, position=3, pitch=D6, duration=3, instrument=recorder
Note: beat=67, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=67, position=9, pitch=C6, duration=3, instrument=recorder
Note: beat=68, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=68, position=3, pitch=A#5, duration=3, instrument=recorder
Note: beat=68, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=68, position=9, pitch=A5, duration=3, instrument=recorder
Note: beat=69, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=69, position=3, pitch=D6, duration=3, instrument=recorder
Note: beat=69, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=69, position=9, pitch=C6, duration=3, instrument=recorder
Note: beat=70, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=70, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=70, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=70, position=9, pitch=F4, duration=3, instrument=recorder
Note: beat=71, position=0, pitch=A#4, duration=2, instrument=recorder
Note: beat=71, position=2, pitch=F4, duration=1, instrument=recorder
Note: beat=71, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=71, position=4, pitch=A4, duration=2, instrument=recorder
Note: beat=71, position=6, pitch=A#4, duration=2, instrument=recorder
Note: beat=71, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=71, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=71, position=10, pitch=E5, duration=2, instrument=recorder
Note: beat=72, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=73, position=2, pitch=F4, duration=1, instrument=recorder
Note: beat=73, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=73, position=4, pitch=A4, duration=2, instrument=recorder
Note: beat=73, position=6, pitch=A#4, duration=2, instrument=recorder
Note: beat=73, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=73, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=73, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=74, position=0, pitch=G5, duration=2, instrument=recorder
Note: beat=74, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=74, position=3, pitch=A5, duration=1, instrument=recorder
Note: beat=74, position=4, pitch=A#5, duration=2, instrument=recorder
Note: beat=74, position=6, pitch=C6, duration=2, instrument=recorder
Note: beat=74, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=74, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=74, position=10, pitch=E5, duration=2, instrument=recorder
Note: beat=75, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=75, position=2, pitch=F5, duration=1, instrument=recorder
Note: beat=75, position=3, pitch=G5, duration=1, instrument=recorder
Note: beat=75, position=4, pitch=A5, duration=2, instrument=recorder
Note: beat=75, position=6, pitch=A#5, duration=2, instrument=recorder
Note: beat=75, position=8, pitch=A#4, duration=1, instrument=recorder
Note: beat=75, position=9, pitch=C5, duration=1, instrument=recorder
Note: beat=75, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=76, position=0, pitch=E5, duration=2, instrument=recorder
Note: beat=76, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=76, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=76, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=76, position=6, pitch=A5, duration=2, instrument=recorder
Note: beat=76, position=8, pitch=A4, duration=1, instrument=recorder
Note: beat=76, position=9, pitch=B4, duration=1, instrument=recorder
Note: beat=76, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=77, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=77, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=77, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=77, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=77, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=77, position=8, pitch=E5, duration=1, instrument=recorder
Note: beat=77, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=77, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=78, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=78, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=78, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=78, position=6, pitch=F5, duration=12, instrument=recorder
Note: beat=79, position=6, pitch=E5, duration=6, instrument=recorder
Note: beat=80, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=80, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=80, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=81, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=81, position=6, pitch=F6, duration=6, instrument=recorder
Note: beat=82, position=3, pitch=E6, duration=1, instrument=recorder
Note: beat=82, position=4, pitch=D6, duration=2, instrument=recorder
Note: beat=82, position=6, pitch=C6, duration=3, instrument=recorder
Note: beat=82, position=9, pitch=D6, duration=1, instrument=recorder
Note: beat=82, position=10, pitch=E6, duration=2, instrument=recorder
Note: beat=83, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=83, position=3, pitch=D6, duration=1, instrument=recorder
Note: beat=83, position=4, pitch=C6, duration=2, instrument=recorder
Note: beat=83, position=6, pitch=B5, duration=3, instrument=recorder
Note: beat=83, position=9, pitch=C6, duration=1, instrument=recorder
Note: beat=83, position=10, pitch=D6, duration=2, instrument=recorder
Note: beat=84, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=84, position=3, pitch=C6, duration=1, instrument=recorder
Note: beat=84, position=4, pitch=B5, duration=2, instrument=recorder
Note: beat=84, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=84, position=9, pitch=B5, duration=1, instrument=recorder
Note: beat=84, position=10, pitch=C6, duration=2, instrument=recorder
Note: beat=85, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=85, position=3, pitch=B5, duration=1, instrument=recorder
Note: beat=85, position=4, pitch=A5, duration=2, instrument=recorder
Note: beat=85, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=85, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=85, position=10, pitch=B5, duration=2, instrument=recorder
Note: beat=86, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=86, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=86, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=86, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=86, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=86, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=87, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=87, position=3, pitch=C6, duration=3, instrument=recorder
Note: beat=87, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=87, position=9, pitch=B5, duration=3, instrument=recorder
Note: beat=88, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=88, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=88, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=88, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=88, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=88, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=89, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=89, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=89, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=89, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=89, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=89, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=90, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=90, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=90, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=91, position=0, pitch=A#4, duration=2, instrument=recorder
Note: beat=91, position=2, pitch=A4, duration=1, instrument=recorder
Note: beat=91, position=3, pitch=A#4, duration=1, instrument=recorder
Note: beat=91, position=4, pitch=C5, duration=2, instrument=recorder
Note: beat=91, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=91, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=91, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=91, position=10, pitch=E5, duration=2, instrument=recorder
Note: beat=92, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=92, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=92, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=92, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=92, position=6, pitch=A5, duration=2, instrument=recorder
Note: beat=92, position=8, pitch=G5, duration=1, instrument=recorder
Note: beat=92, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=92, position=10, pitch=A#5, duration=2, instrument=recorder
Note: beat=93, position=0, pitch=C6, duration=3, instrument=recorder
Note: beat=93, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=93, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=93, position=9, pitch=A#4, duration=3, instrument=recorder
Note: beat=94, position=0, pitch=C5, duration=3, instrument=recorder
