Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=18, position=0, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=18, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=18, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=18, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=19, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=19, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=19, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=19, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=20, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=20, position=3, pitch=F3, duration=1, instrument=harpsichord
Note: beat=20, position=4, pitch=D#3, duration=2, instrument=harpsichord
Note: beat=20, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=20, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=21, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=21, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=21, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=21, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=22, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=22, position=3, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=22, position=6, pitch=F3, duration=3, instrument=harpsichord
Note: beat=22, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=23, position=0, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=23, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=23, position=6, pitch=F3, duration=3, instrument=harpsichord
Note: beat=23, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=24, position=0, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=24, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=24, position=6, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=24, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=25, position=0, pitch=A#2, duration=9, instrument=harpsichord
Note: beat=25, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=26, position=0, pitch=C3, duration=9, instrument=harpsichord
Note: beat=26, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=27, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=27, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=28, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=28, position=3, pitch=F3, duration=3, instrument=harpsichord
Note: beat=28, position=6, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=28, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=29, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=29, position=3, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=29, position=6, pitch=A2, duration=3, instrument=harpsichord
Note: beat=29, position=9, pitch=G2, duration=3, instrument=harpsichord
Note: beat=30, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=30, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=30, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=30, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=31, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=31, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=31, position=9, pitch=D3, duration=3, instrument=harpsichord
Note: beat=32, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=32, position=6, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=32, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=33, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=33, position=3, pitch=D2, duration=3, instrument=harpsichord
Note: beat=33, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=33, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=34, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=34, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=34, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=34, position=9, pitch=D2, duration=3, instrument=harpsichord
Note: beat=35, position=0, pitch=G2, duration=9, instrument=harpsichord
Note: beat=35, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=36, position=0, pitch=F3, duration=9, instrument=harpsichord
Note: beat=36, position=9, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=37, position=0, pitch=D#3, duration=12, instrument=harpsichord
Note: beat=38, position=0, pitch=D3, duration=24, instrument=harpsichord
End of song
