Start of song
Instrument: contrabass
Start of notes
Note: beat=0, position=0, pitch=A#3, duration=6, instrument=bass
Note: beat=10, position=6, pitch=G2, duration=3, instrument=bass
Note: beat=11, position=6, pitch=C4, duration=2, instrument=bass
Note: beat=12, position=6, pitch=E4, duration=3, instrument=bass
Note: beat=21, position=0, pitch=C4, duration=2, instrument=bass
Note: beat=7, position=0, pitch=E5, duration=3, instrument=bass
Note: beat=15, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=22, position=0, pitch=F4, duration=3, instrument=bass
Note: beat=10, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=16, position=0, pitch=C4, duration=3, instrument=bass
Note: beat=16, position=6, pitch=F3, duration=3, instrument=bass
Note: beat=18, position=0, pitch=F4, duration=3, instrument=bass
Note: beat=12, position=6, pitch=C5, duration=3, instrument=bass
Note: beat=13, position=6, pitch=F5, duration=2, instrument=bass
Note: beat=24, position=0, pitch=D5, duration=2, instrument=bass
Note: beat=11, position=6, pitch=C5, duration=1, instrument=bass
Note: beat=27, position=6, pitch=E4, duration=2, instrument=bass
Note: beat=33, position=0, pitch=D5, duration=3, instrument=bass
Note: beat=11, position=6, pitch=C5, duration=2, instrument=bass
Note: beat=14, position=0, pitch=F4, duration=1, instrument=bass
Note: beat=11, position=6, pitch=A4, duration=2, instrument=bass
Note: beat=14, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=11, position=6, pitch=G4, duration=2, instrument=bass
Note: beat=33, position=6, pitch=B4, duration=1, instrument=bass
Note: beat=26, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=17, position=3, pitch=C5, duration=1, instrument=bass
Note: beat=12, position=0, pitch=D5, duration=3, instrument=bass
Note: beat=13, position=0, pitch=D4, duration=3, instrument=bass
Note: beat=11, position=6, pitch=G4, duration=2, instrument=bass
Note: beat=24, position=3, pitch=F4, duration=1, instrument=bass
Note: beat=21, position=0, pitch=B4, duration=2, instrument=bass
Note: beat=26, position=0, pitch=G4, duration=2, instrument=bass
Note: beat=15, position=6, pitch=B4, duration=3, instrument=bass
Note: beat=12, position=6, pitch=G4, duration=6, instrument=bass
Note: beat=19, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=19, position=6, pitch=C5, duration=3, instrument=bass
Note: beat=22, position=6, pitch=C5, duration=2, instrument=bass
Note: beat=19, position=0, pitch=D5, duration=3, instrument=bass
Note: beat=21, position=0, pitch=B4, duration=1, instrument=bass
Note: beat=33, position=0, pitch=G5, duration=2, instrument=bass
Note: beat=20, position=0, pitch=C5, duration=1, instrument=bass
Note: beat=19, position=0, pitch=F5, duration=2, instrument=bass
Note: beat=13, position=6, pitch=E5, duration=3, instrument=bass
Note: beat=20, position=0, pitch=G5, duration=2, instrument=bass
Note: beat=11, position=6, pitch=F3, duration=3, instrument=bass
Note: beat=14, position=0, pitch=D5, duration=2, instrument=bass
Note: beat=25, position=3, pitch=A#4, duration=2, instrument=bass
Note: beat=23, position=0, pitch=E4, duration=3, instrument=bass
Note: beat=11, position=6, pitch=F5, duration=3, instrument=bass
Note: beat=26, position=6, pitch=A4, duration=1, instrument=bass
Note: beat=13, position=6, pitch=A4, duration=2, instrument=bass
Note: beat=12, position=0, pitch=F4, duration=3, instrument=bass
Note: beat=17, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=16, position=6, pitch=B4, duration=1, instrument=bass
Note: beat=23, position=6, pitch=F4, duration=1, instrument=bass
Note: beat=22, position=6, pitch=C4, duration=2, instrument=bass
Note: beat=22, position=6, pitch=D5, duration=6, instrument=bass
Note: beat=20, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=36, position=6, pitch=D4, duration=2, instrument=bass
Note: beat=35, position=3, pitch=E4, duration=2, instrument=bass
Note: beat=23, position=0, pitch=B4, duration=2, instrument=bass
Note: beat=28, position=6, pitch=G4, duration=2, instrument=bass
Note: beat=37, position=0, pitch=C5, duration=1, instrument=bass
Note: beat=17, position=6, pitch=A4, duration=2, instrument=bass
Note: beat=22, position=0, pitch=A3, duration=3, instrument=bass
Note: beat=32, position=0, pitch=E5, duration=3, instrument=bass
Note: beat=24, position=6, pitch=E5, duration=1, instrument=bass
Note: beat=14, position=6, pitch=C4, duration=3, instrument=bass
Note: beat=20, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=24, position=6, pitch=D4, duration=1, instrument=bass
Note: beat=22, position=0, pitch=B4, duration=1, instrument=bass
Note: beat=24, position=6, pitch=E3, duration=1, instrument=bass
Note: beat=28, position=6, pitch=F5, duration=6, instrument=bass
Note: beat=22, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=16, position=6, pitch=D5, duration=6, instrument=bass
Note: beat=32, position=0, pitch=F4, duration=3, instrument=bass
Note: beat=35, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=40, position=6, pitch=B4, duration=1, instrument=bass
Note: beat=25, position=6, pitch=E5, duration=1, instrument=bass
Note: beat=37, position=6, pitch=G5, duration=1, instrument=bass
Note: beat=24, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=23, position=0, pitch=G5, duration=3, instrument=bass
Note: beat=23, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=43, position=3, pitch=G4, duration=3, instrument=bass
Note: beat=23, position=6, pitch=C5, duration=3, instrument=bass
Note: beat=33, position=3, pitch=G5, duration=1, instrument=bass
Note: beat=30, position=0, pitch=F4, duration=1, instrument=bass
Note: beat=29, position=3, pitch=C5, duration=2, instrument=bass
Note: beat=46, position=6, pitch=C5, duration=2, instrument=bass
Note: beat=29, position=0, pitch=D5, duration=1, instrument=bass
Note: beat=38, position=6, pitch=B4, duration=3, instrument=bass
Note: beat=35, position=3, pitch=D5, duration=3, instrument=bass
Note: beat=36, position=6, pitch=C4, duration=3, instrument=bass
Note: beat=40, position=6, pitch=E5, duration=2, instrument=bass
Note: beat=43, position=6, pitch=D5, duration=3, instrument=bass
Note: beat=32, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=36, position=6, pitch=C5, duration=1, instrument=bass
Note: beat=32, position=6, pitch=G5, duration=1, instrument=bass
Note: beat=30, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=47, position=6, pitch=G5, duration=1, instrument=bass
Note: beat=36, position=0, pitch=D5, duration=6, instrument=bass
Note: beat=47, position=6, pitch=F5, duration=1, instrument=bass
Note: beat=43, position=0, pitch=A4, duration=2, instrument=bass
Note: beat=41, position=0, pitch=G4, duration=2, instrument=bass
Note: beat=46, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=39, position=0, pitch=E5, duration=3, instrument=bass
Note: beat=52, position=6, pitch=A3, duration=3, instrument=bass
Note: beat=48, position=6, pitch=G5, duration=1, instrument=bass
Note: beat=36, position=0, pitch=G5, duration=1, instrument=bass
Note: beat=31, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=46, position=0, pitch=B4, duration=1, instrument=bass
Note: beat=30, position=6, pitch=D4, duration=3, instrument=bass
Note: beat=42, position=6, pitch=G4, duration=3, instrument=bass
Note: beat=47, position=0, pitch=D5, duration=1, instrument=bass
Note: beat=33, position=0, pitch=A#4, duration=3, instrument=bass
Note: beat=46, position=0, pitch=D4, duration=2, instrument=bass
Note: beat=40, position=6, pitch=E5, duration=1, instrument=bass
Note: beat=41, position=6, pitch=D5, duration=2, instrument=bass
Note: beat=36, position=6, pitch=C4, duration=3, instrument=bass
Note: beat=53, position=0, pitch=D5, duration=2, instrument=bass
Note: beat=31, position=0, pitch=E4, duration=3, instrument=bass
Note: beat=37, position=6, pitch=A#4, duration=3, instrument=bass
Note: beat=43, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=35, position=6, pitch=C5, duration=3, instrument=bass
Note: beat=46, position=0, pitch=F4, duration=1, instrument=bass
Note: beat=29, position=6, pitch=G4, duration=2, instrument=bass
Note: beat=51, position=0, pitch=D5, duration=1, instrument=bass
Note: beat=49, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=43, position=6, pitch=D4, duration=3, instrument=bass
Note: beat=55, position=0, pitch=G5, duration=2, instrument=bass
Note: beat=44, position=0, pitch=G4, duration=3, instrument=bass
Note: beat=48, position=0, pitch=F5, duration=3, instrument=bass
Note: beat=53, position=0, pitch=F5, duration=3, instrument=bass
Note: beat=36, position=0, pitch=B4, duration=1, instrument=bass
Note: beat=45, position=6, pitch=E4, duration=3, instrument=bass
Note: beat=45, position=0, pitch=C5, duration=6, instrument=bass
Note: beat=44, position=0, pitch=F4, duration=2, instrument=bass
Note: beat=46, position=0, pitch=E5, duration=1, instrument=bass
Note: beat=41, position=0, pitch=E4, duration=2, instrument=bass
Note: beat=42, position=0, pitch=B4, duration=2, instrument=bass
Note: beat=49, position=6, pitch=C5, duration=3, instrument=bass
Note: beat=33, position=6, pitch=E5, duration=2, instrument=bass
Note: beat=57, position=6, pitch=D5, duration=6, instrument=bass
Note: beat=41, position=6, pitch=F3, duration=2, instrument=bass
Note: beat=49, position=6, pitch=D5, duration=2, instrument=bass
Note: beat=53, position=6, pitch=G4, duration=1, instrument=bass
Note: beat=40, position=0, pitch=C4, duration=2, instrument=bass
Note: beat=37, position=6, pitch=D5, duration=3, instrument=bass
Note: beat=57, position=6, pitch=D5, duration=1, instrument=bass
Note: beat=43, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=51, position=6, pitch=E4, duration=1, instrument=bass
Note: beat=55, position=6, pitch=D5, duration=6, instrument=bass
Note: beat=48, position=0, pitch=C4, duration=1, instrument=bass
Note: beat=42, position=6, pitch=F5, duration=3, instrument=bass
Note: beat=39, position=6, pitch=D4, duration=2, instrument=bass
Note: beat=56, position=0, pitch=D5, duration=3, instrument=bass
Note: beat=41, position=6, pitch=E5, duration=2, instrument=bass
Note: beat=40, position=6, pitch=A4, duration=1, instrument=bass
Note: beat=46, position=0, pitch=C4, duration=3, instrument=bass
Note: beat=42, position=0, pitch=A#4, duration=3, instrument=bass
Note: beat=53, position=6, pitch=D5, duration=1, instrument=bass
Note: beat=51, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=39, position=0, pitch=C5, duration=1, instrument=bass
Note: beat=47, position=6, pitch=E5, duration=3, instrument=bass
Note: beat=54, position=6, pitch=E4, duration=3, instrument=bass
Note: beat=47, position=0, pitch=G5, duration=1, instrument=bass
Note: beat=65, position=0, pitch=A4, duration=1, instrument=bass
Note: beat=54, position=6, pitch=C5, duration=2, instrument=bass
Note: beat=57, position=0, pitch=F3, duration=3, instrument=bass
Note: beat=52, position=6, pitch=G4, duration=3, instrument=bass
Note: beat=54, position=0, pitch=G5, duration=3, instrument=bass
Note: beat=62, position=6, pitch=G4, duration=1, instrument=bass
Note: beat=41, position=6, pitch=E5, duration=1, instrument=bass
Note: beat=40, position=6, pitch=C5, duration=3, instrument=bass
Note: beat=47, position=6, pitch=G4, duration=2, instrument=bass
Note: beat=55, position=6, pitch=D4, duration=1, instrument=bass
Note: beat=51, position=0, pitch=F5, duration=1, instrument=bass
Note: beat=60, position=0, pitch=A4, duration=1, instrument=bass
Note: beat=47, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=41, position=0, pitch=F5, duration=3, instrument=bass
Note: beat=58, position=0, pitch=A#4, duration=3, instrument=bass
Note: beat=48, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=46, position=0, pitch=G4, duration=3, instrument=bass
Note: beat=57, position=6, pitch=D5, duration=2, instrument=bass
Note: beat=67, position=6, pitch=A#4, duration=2, instrument=bass
Note: beat=58, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=49, position=0, pitch=D5, duration=1, instrument=bass
Note: beat=46, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=51, position=0, pitch=E4, duration=2, instrument=bass
Note: beat=73, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=55, position=0, pitch=D4, duration=2, instrument=bass
Note: beat=50, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=67, position=6, pitch=D5, duration=1, instrument=bass
Note: beat=54, position=0, pitch=E5, duration=1, instrument=bass
Note: beat=56, position=0, pitch=F4, duration=1, instrument=bass
Note: beat=52, position=0, pitch=A#4, duration=1, instrument=bass
Note: beat=50, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=69, position=6, pitch=A#4, duration=3, instrument=bass
Note: beat=53, position=6, pitch=C5, duration=6, instrument=bass
Note: beat=53, position=0, pitch=A#4, duration=3, instrument=bass
Note: beat=53, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=56, position=0, pitch=A#4, duration=3, instrument=bass
Note: beat=66, position=0, pitch=D5, duration=3, instrument=bass
Note: beat=69, position=0, pitch=A4, duration=1, instrument=bass
Note: beat=72, position=0, pitch=F5, duration=2, instrument=bass
Note: beat=63, position=3, pitch=C5, duration=3, instrument=bass
Note: beat=60, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=68, position=0, pitch=D4, duration=2, instrument=bass
Note: beat=75, position=0, pitch=F4, duration=1, instrument=bass
Note: beat=57, position=0, pitch=F3, duration=3, instrument=bass
Note: beat=54, position=0, pitch=C5, duration=2, instrument=bass
Note: beat=61, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=50, position=0, pitch=G4, duration=2, instrument=bass
Note: beat=66, position=0, pitch=G4, duration=1, instrument=bass
Note: beat=50, position=6, pitch=F4, duration=1, instrument=bass
Note: beat=66, position=0, pitch=A4, duration=1, instrument=bass
Note: beat=62, position=6, pitch=D4, duration=1, instrument=bass
Note: beat=51, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=68, position=0, pitch=E5, duration=1, instrument=bass
Note: beat=59, position=0, pitch=C4, duration=3, instrument=bass
Note: beat=74, position=6, pitch=D4, duration=2, instrument=bass
Note: beat=51, position=0, pitch=F4, duration=2, instrument=bass
Note: beat=70, position=0, pitch=C4, duration=1, instrument=bass
Note: beat=73, position=6, pitch=G4, duration=3, instrument=bass
Note: beat=79, position=6, pitch=F4, duration=3, instrument=bass
Note: beat=63, position=0, pitch=E5, duration=3, instrument=bass
Note: beat=66, position=0, pitch=F4, duration=1, instrument=bass
Note: beat=53, position=0, pitch=G4, duration=1, instrument=bass
Note: beat=83, position=0, pitch=C5, duration=2, instrument=bass
Note: beat=54, position=6, pitch=F5, duration=3, instrument=bass
Note: beat=69, position=0, pitch=E4, duration=3, instrument=bass
Note: beat=82, position=6, pitch=F5, duration=2, instrument=bass
Note: beat=64, position=0, pitch=F3, duration=2, instrument=bass
Note: beat=71, position=0, pitch=G4, duration=1, instrument=bass
Note: beat=64, position=6, pitch=D5, duration=3, instrument=bass
Note: beat=69, position=0, pitch=D5, duration=1, instrument=bass
Note: beat=69, position=6, pitch=E5, duration=6, instrument=bass
Note: beat=54, position=6, pitch=D5, duration=1, instrument=bass
Note: beat=87, position=6, pitch=C4, duration=2, instrument=bass
Note: beat=64, position=6, pitch=E4, duration=2, instrument=bass
Note: beat=73, position=0, pitch=A#4, duration=1, instrument=bass
Note: beat=82, position=0, pitch=G4, duration=2, instrument=bass
Note: beat=70, position=0, pitch=G5, duration=3, instrument=bass
Note: beat=86, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=55, position=0, pitch=D5, duration=1, instrument=bass
Note: beat=62, position=6, pitch=D5, duration=1, instrument=bass
Note: beat=75, position=0, pitch=G5, duration=2, instrument=bass
Note: beat=72, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=84, position=0, pitch=E4, duration=3, instrument=bass
Note: beat=67, position=0, pitch=A4, duration=1, instrument=bass
